health_zone,total_cases,confirmed_cases,suspected_cases,confirmed_deaths,suspected_deaths,population_worldpop,attack_rate_per_100k,pcr_machines,data_date,source
Bunia,1712,1444,268,447,57,509060,336.3,10,2026-09-02,INSP SitRep via INRB-UMIE
Rwampara,1212,971,241,341,71,252324,480.3,0,2026-09-02,INSP SitRep via INRB-UMIE
Mongbalu,962,616,346,288,88,157714,610.0,0,2026-09-02,INSP SitRep via INRB-UMIE
Nizi,681,675,6,266,2,129697,525.1,0,2026-09-02,INSP SitRep via INRB-UMIE
Katwa,429,416,13,278,0,612242,70.1,0,2026-09-02,INSP SitRep via INRB-UMIE
Mangala,271,271,0,138,0,89713,302.1,1,2026-09-02,INSP SitRep via INRB-UMIE
Lita,225,225,0,121,0,113364,198.5,0,2026-09-02,INSP SitRep via INRB-UMIE
Nia Nia,218,218,0,113,0,91756,237.6,0,2026-09-02,INSP SitRep via INRB-UMIE
Butembo,193,186,7,134,0,289378,66.7,2,2026-09-02,INSP SitRep via INRB-UMIE
Bambu,182,168,14,36,3,136151,133.7,0,2026-09-02,INSP SitRep via INRB-UMIE
Nyakunde,176,124,52,35,12,94004,187.2,0,2026-09-02,INSP SitRep via INRB-UMIE
Beni,151,151,0,109,0,428854,35.2,2,2026-09-02,INSP SitRep via INRB-UMIE
Komanda,92,92,0,62,0,219948,41.8,1,2026-09-02,INSP SitRep via INRB-UMIE
Isiro,86,86,0,35,0,512401,16.8,0,2026-09-02,INSP SitRep via INRB-UMIE
Musienene,85,85,0,48,0,348392,24.4,0,2026-09-02,INSP SitRep via INRB-UMIE
Wamba,79,79,0,30,0,224757,35.1,0,2026-09-02,INSP SitRep via INRB-UMIE
Fataki,77,77,0,30,0,158032,48.7,1,2026-09-02,INSP SitRep via INRB-UMIE
Tchomia,59,59,0,25,0,83917,70.3,1,2026-09-02,INSP SitRep via INRB-UMIE
Kilo,40,32,8,12,2,43139,92.7,0,2026-09-02,INSP SitRep via INRB-UMIE
Pawa,39,39,0,22,0,301768,12.9,0,2026-09-02,INSP SitRep via INRB-UMIE
Mandima,36,36,0,21,0,286637,12.6,0,2026-09-02,INSP SitRep via INRB-UMIE
Damas,29,28,1,9,0,94820,30.6,0,2026-09-02,INSP SitRep via INRB-UMIE
Kalunguta,29,16,13,7,0,191732,15.1,0,2026-09-02,INSP SitRep via INRB-UMIE
Boma Mangbetu,27,27,0,14,0,230104,11.7,0,2026-09-02,INSP SitRep via INRB-UMIE
Lolwa,22,22,0,5,0,41314,53.3,0,2026-09-02,INSP SitRep via INRB-UMIE
Mambasa,17,17,0,7,0,150807,11.3,0,2026-09-02,INSP SitRep via INRB-UMIE
NA,17,17,0,0,0,0,,0,2026-09-02,INSP SitRep via INRB-UMIE
Kyondo,16,16,0,12,0,270344,5.9,0,2026-09-02,INSP SitRep via INRB-UMIE
Drodro,14,14,0,7,0,199996,7.0,1,2026-09-02,INSP SitRep via INRB-UMIE
Aru,12,8,4,6,1,329667,3.6,2,2026-09-02,INSP SitRep via INRB-UMIE
Aungba,12,12,0,5,0,216787,5.5,0,2026-09-02,INSP SitRep via INRB-UMIE
Masereka,12,12,0,5,0,298636,4.0,0,2026-09-02,INSP SitRep via INRB-UMIE
Adja,11,11,0,1,0,126933,8.7,0,2026-09-02,INSP SitRep via INRB-UMIE
Logo,11,11,0,5,0,216944,5.1,0,2026-09-02,INSP SitRep via INRB-UMIE
Rimba,11,11,0,4,0,222282,4.9,1,2026-09-02,INSP SitRep via INRB-UMIE
Makiso Kisangani,10,10,0,5,0,535798,1.9,0,2026-09-02,INSP SitRep via INRB-UMIE
Gety,9,6,3,2,0,143442,6.3,0,2026-09-02,INSP SitRep via INRB-UMIE
Ariwara,8,8,0,2,0,314730,2.5,0,2026-09-02,INSP SitRep via INRB-UMIE
Oicha,8,8,0,6,0,274998,2.9,0,2026-09-02,INSP SitRep via INRB-UMIE
Mabalako,7,7,0,5,0,197136,3.6,0,2026-09-02,INSP SitRep via INRB-UMIE
Vuhovi,6,6,0,3,0,151953,3.9,0,2026-09-02,INSP SitRep via INRB-UMIE
Kabondo,4,4,0,1,0,204629,2.0,0,2026-09-02,INSP SitRep via INRB-UMIE
Lubero,4,4,0,3,0,377506,1.1,0,2026-09-02,INSP SitRep via INRB-UMIE
