health_zone,total_cases,confirmed_cases,suspected_cases,confirmed_deaths,suspected_deaths,population_worldpop,attack_rate_per_100k,pcr_machines,data_date,source
Bunia,1340,1072,268,329,57,509060,263.2,10,2026-08-11,INSP SitRep via INRB-UMIE
Rwampara,1041,800,241,316,71,252324,412.6,0,2026-08-11,INSP SitRep via INRB-UMIE
Mongbalu,925,579,346,281,88,157714,586.5,0,2026-08-11,INSP SitRep via INRB-UMIE
Nizi,508,502,6,231,2,129697,391.7,0,2026-08-11,INSP SitRep via INRB-UMIE
Katwa,262,249,13,166,0,612242,42.8,0,2026-08-11,INSP SitRep via INRB-UMIE
Lita,169,169,0,97,0,113364,149.1,0,2026-08-11,INSP SitRep via INRB-UMIE
Nyakunde,169,117,52,35,12,94004,179.8,0,2026-08-11,INSP SitRep via INRB-UMIE
Nia Nia,146,146,0,87,0,91756,159.1,0,2026-08-11,INSP SitRep via INRB-UMIE
Mangala,120,120,0,76,0,89713,133.8,1,2026-08-11,INSP SitRep via INRB-UMIE
Butembo,112,105,7,86,0,289378,38.7,2,2026-08-11,INSP SitRep via INRB-UMIE
Bambu,107,93,14,22,3,136151,78.6,0,2026-08-11,INSP SitRep via INRB-UMIE
Beni,80,80,0,62,0,428854,18.7,2,2026-08-11,INSP SitRep via INRB-UMIE
Fataki,55,55,0,29,0,158032,34.8,1,2026-08-11,INSP SitRep via INRB-UMIE
Musienene,53,53,0,31,0,348392,15.2,0,2026-08-11,INSP SitRep via INRB-UMIE
Tchomia,48,48,0,24,0,83917,57.2,1,2026-08-11,INSP SitRep via INRB-UMIE
Wamba,43,43,0,16,0,224757,19.1,0,2026-08-11,INSP SitRep via INRB-UMIE
Komanda,42,42,0,29,0,219948,19.1,1,2026-08-11,INSP SitRep via INRB-UMIE
Kilo,38,30,8,12,2,43139,88.1,0,2026-08-11,INSP SitRep via INRB-UMIE
Isiro,33,33,0,18,0,512401,6.4,0,2026-08-11,INSP SitRep via INRB-UMIE
Kalunguta,23,10,13,4,0,191732,12.0,0,2026-08-11,INSP SitRep via INRB-UMIE
Damas,21,20,1,9,0,94820,22.1,0,2026-08-11,INSP SitRep via INRB-UMIE
Boma Mangbetu,20,20,0,5,0,230104,8.7,0,2026-08-11,INSP SitRep via INRB-UMIE
Mandima,19,19,0,13,0,286637,6.6,0,2026-08-11,INSP SitRep via INRB-UMIE
NA,17,17,0,0,0,0,,0,2026-08-11,INSP SitRep via INRB-UMIE
Pawa,17,17,0,11,0,301768,5.6,0,2026-08-11,INSP SitRep via INRB-UMIE
Kyondo,13,13,0,10,0,270344,4.8,0,2026-08-11,INSP SitRep via INRB-UMIE
Mambasa,13,13,0,6,0,150807,8.6,0,2026-08-11,INSP SitRep via INRB-UMIE
Drodro,12,12,0,6,0,199996,6.0,1,2026-08-11,INSP SitRep via INRB-UMIE
Adja,11,11,0,1,0,126933,8.7,0,2026-08-11,INSP SitRep via INRB-UMIE
Aru,11,7,4,6,1,329667,3.3,2,2026-08-11,INSP SitRep via INRB-UMIE
Logo,11,11,0,5,0,216944,5.1,0,2026-08-11,INSP SitRep via INRB-UMIE
Lolwa,11,11,0,4,0,41314,26.6,0,2026-08-11,INSP SitRep via INRB-UMIE
Aungba,10,10,0,5,0,216787,4.6,0,2026-08-11,INSP SitRep via INRB-UMIE
