health_zone,total_cases,confirmed_cases,suspected_cases,confirmed_deaths,suspected_deaths,population_worldpop,attack_rate_per_100k,pcr_machines,data_date,source
Mongbalu,393,47,346,10,88,159147,246.9,2,2026-05-30,INSP SitRep via INRB-UMIE
Bunia,348,80,268,8,57,715169,48.7,10,2026-05-30,INSP SitRep via INRB-UMIE
Rwampara,306,65,241,13,71,61295,499.2,0,2026-05-30,INSP SitRep via INRB-UMIE
Nyakunde,71,19,52,1,12,94513,75.1,2,2026-05-30,INSP SitRep via INRB-UMIE
Katwa,17,4,13,3,0,621981,2.7,0,2026-05-30,INSP SitRep via INRB-UMIE
Bambu,16,2,14,2,3,142110,11.3,0,2026-05-30,INSP SitRep via INRB-UMIE
Kalunguta,14,1,13,1,0,254340,5.5,0,2026-05-30,INSP SitRep via INRB-UMIE
Butembo,12,5,7,2,0,286962,4.2,2,2026-05-30,INSP SitRep via INRB-UMIE
Kilo,10,2,8,0,2,38314,26.1,0,2026-05-30,INSP SitRep via INRB-UMIE
Nizi,8,2,6,0,2,146119,5.5,0,2026-05-30,INSP SitRep via INRB-UMIE
Aru,6,2,4,1,1,307811,1.9,2,2026-05-30,INSP SitRep via INRB-UMIE
Gethy,4,1,3,0,0,171770,2.3,0,2026-05-30,INSP SitRep via INRB-UMIE
Miti-Murhesa,4,3,1,1,0,265959,1.5,0,2026-05-30,INSP SitRep via INRB-UMIE
Beni,2,2,0,0,0,231984,0.9,2,2026-05-30,INSP SitRep via INRB-UMIE
Damas,2,1,1,0,0,88590,2.3,0,2026-05-30,INSP SitRep via INRB-UMIE
Jiba,2,0,2,0,0,71960,2.8,1,2026-05-30,INSP SitRep via INRB-UMIE
Aungba,1,1,0,0,0,229697,0.4,0,2026-05-30,INSP SitRep via INRB-UMIE
Goma,1,1,0,0,0,277156,0.4,2,2026-05-30,INSP SitRep via INRB-UMIE
Komanda,1,1,0,0,0,222355,0.4,1,2026-05-30,INSP SitRep via INRB-UMIE
Kyondo,1,1,0,0,0,493964,0.2,0,2026-05-30,INSP SitRep via INRB-UMIE
Lita,1,1,0,0,0,91650,1.1,0,2026-05-30,INSP SitRep via INRB-UMIE
Mangala,1,1,0,0,0,82616,1.2,1,2026-05-30,INSP SitRep via INRB-UMIE
Oicha,1,1,0,0,0,276791,0.4,0,2026-05-30,INSP SitRep via INRB-UMIE
Fataki,0,0,0,0,0,150055,,1,2026-05-30,INSP SitRep via INRB-UMIE
Karisimbi,0,0,0,0,0,583594,,0,2026-05-30,INSP SitRep via INRB-UMIE
Mambasa,0,0,0,0,0,164109,,0,2026-05-30,INSP SitRep via INRB-UMIE
Manguredjipa,0,0,0,0,0,60156,,0,2026-05-30,INSP SitRep via INRB-UMIE
Rimba,0,0,0,0,0,174926,,1,2026-05-30,INSP SitRep via INRB-UMIE
