health_zone,total_cases,confirmed_cases,suspected_cases,confirmed_deaths,suspected_deaths,population_worldpop,attack_rate_per_100k,pcr_machines,data_date,source
Bunia,1922,1654,268,517,57,509060,377.6,10,2026-09-19,INSP SitRep via INRB-UMIE
Rwampara,1287,1046,241,352,71,252324,510.1,0,2026-09-19,INSP SitRep via INRB-UMIE
Mongbalu,1032,686,346,319,88,157714,654.3,0,2026-09-19,INSP SitRep via INRB-UMIE
Nizi,760,754,6,274,2,129697,586.0,0,2026-09-19,INSP SitRep via INRB-UMIE
Katwa,555,542,13,343,0,612242,90.7,0,2026-09-19,INSP SitRep via INRB-UMIE
Mangala,333,333,0,146,0,89713,371.2,1,2026-09-19,INSP SitRep via INRB-UMIE
Beni,275,275,0,191,0,428854,64.1,2,2026-09-19,INSP SitRep via INRB-UMIE
Lita,273,273,0,135,0,113364,240.8,0,2026-09-19,INSP SitRep via INRB-UMIE
Nia Nia,266,266,0,141,0,91756,289.9,0,2026-09-19,INSP SitRep via INRB-UMIE
Butembo,259,252,7,161,0,289378,89.5,2,2026-09-19,INSP SitRep via INRB-UMIE
Bambu,207,193,14,39,3,136151,152.0,0,2026-09-19,INSP SitRep via INRB-UMIE
Nyakunde,178,126,52,36,12,94004,189.4,0,2026-09-19,INSP SitRep via INRB-UMIE
Komanda,147,147,0,89,0,219948,66.8,1,2026-09-19,INSP SitRep via INRB-UMIE
Musienene,121,121,0,65,0,348392,34.7,0,2026-09-19,INSP SitRep via INRB-UMIE
Wamba,99,99,0,34,0,224757,44.0,0,2026-09-19,INSP SitRep via INRB-UMIE
Isiro,98,98,0,42,0,512401,19.1,0,2026-09-19,INSP SitRep via INRB-UMIE
Fataki,81,81,0,30,0,158032,51.3,1,2026-09-19,INSP SitRep via INRB-UMIE
Tchomia,75,75,0,25,0,83917,89.4,1,2026-09-19,INSP SitRep via INRB-UMIE
Pawa,68,68,0,32,0,301768,22.5,0,2026-09-19,INSP SitRep via INRB-UMIE
Mandima,59,59,0,33,0,286637,20.6,0,2026-09-19,INSP SitRep via INRB-UMIE
Kalunguta,56,43,13,15,0,191732,29.2,0,2026-09-19,INSP SitRep via INRB-UMIE
Kilo,42,34,8,12,2,43139,97.4,0,2026-09-19,INSP SitRep via INRB-UMIE
Damas,41,40,1,9,0,94820,43.2,0,2026-09-19,INSP SitRep via INRB-UMIE
Boma Mangbetu,36,36,0,15,0,230104,15.6,0,2026-09-19,INSP SitRep via INRB-UMIE
Kyondo,32,32,0,20,0,270344,11.8,0,2026-09-19,INSP SitRep via INRB-UMIE
Lolwa,31,31,0,8,0,41314,75.0,0,2026-09-19,INSP SitRep via INRB-UMIE
Mabalako,24,24,0,11,0,197136,12.2,0,2026-09-19,INSP SitRep via INRB-UMIE
Masereka,24,24,0,9,0,298636,8.0,0,2026-09-19,INSP SitRep via INRB-UMIE
Vuhovi,22,22,0,6,0,151953,14.5,0,2026-09-19,INSP SitRep via INRB-UMIE
Mambasa,21,21,0,9,0,150807,13.9,0,2026-09-19,INSP SitRep via INRB-UMIE
Makiso Kisangani,20,20,0,9,0,535798,3.7,0,2026-09-19,INSP SitRep via INRB-UMIE
Biena,18,18,0,7,0,136159,13.2,0,2026-09-19,INSP SitRep via INRB-UMIE
NA,17,17,0,0,0,0,,0,2026-09-19,INSP SitRep via INRB-UMIE
Lubero,16,16,0,7,0,377506,4.2,0,2026-09-19,INSP SitRep via INRB-UMIE
