health_zone,total_cases,confirmed_cases,suspected_cases,confirmed_deaths,suspected_deaths,population_worldpop,attack_rate_per_100k,pcr_machines,data_date,source
Bunia,981,713,268,185,57,509060,192.7,10,2026-07-23,INSP SitRep via INRB-UMIE
Mongbalu,830,484,346,228,88,157714,526.3,0,2026-07-23,INSP SitRep via INRB-UMIE
Rwampara,731,490,241,236,71,252324,289.7,0,2026-07-23,INSP SitRep via INRB-UMIE
Nizi,322,316,6,151,2,129697,248.3,0,2026-07-23,INSP SitRep via INRB-UMIE
Nyakunde,166,114,52,30,12,94004,176.6,0,2026-07-23,INSP SitRep via INRB-UMIE
Katwa,146,133,13,85,0,612242,23.8,0,2026-07-23,INSP SitRep via INRB-UMIE
Lita,103,103,0,59,0,113364,90.9,0,2026-07-23,INSP SitRep via INRB-UMIE
Mangala,92,92,0,60,0,89713,102.5,1,2026-07-23,INSP SitRep via INRB-UMIE
Nia Nia,78,78,0,43,0,91756,85.0,0,2026-07-23,INSP SitRep via INRB-UMIE
Butembo,70,63,7,41,0,289378,24.2,2,2026-07-23,INSP SitRep via INRB-UMIE
Bambu,65,51,14,10,3,136151,47.7,0,2026-07-23,INSP SitRep via INRB-UMIE
Beni,42,42,0,29,0,428854,9.8,2,2026-07-23,INSP SitRep via INRB-UMIE
Tchomia,40,40,0,24,0,83917,47.7,1,2026-07-23,INSP SitRep via INRB-UMIE
Komanda,33,33,0,22,0,219948,15.0,1,2026-07-23,INSP SitRep via INRB-UMIE
Kilo,31,23,8,11,2,43139,71.9,0,2026-07-23,INSP SitRep via INRB-UMIE
Musienene,27,27,0,13,0,348392,7.7,0,2026-07-23,INSP SitRep via INRB-UMIE
Fataki,17,17,0,6,0,158032,10.8,1,2026-07-23,INSP SitRep via INRB-UMIE
Kalunguta,17,4,13,3,0,191732,8.9,0,2026-07-23,INSP SitRep via INRB-UMIE
NA,17,17,0,0,0,0,,0,2026-07-23,INSP SitRep via INRB-UMIE
Damas,15,14,1,8,0,94820,15.8,0,2026-07-23,INSP SitRep via INRB-UMIE
Mandima,13,13,0,9,0,286637,4.5,0,2026-07-23,INSP SitRep via INRB-UMIE
Adja,10,10,0,1,0,126933,7.9,0,2026-07-23,INSP SitRep via INRB-UMIE
Kyondo,10,10,0,7,0,270344,3.7,0,2026-07-23,INSP SitRep via INRB-UMIE
Aru,9,5,4,1,1,329667,2.7,2,2026-07-23,INSP SitRep via INRB-UMIE
Logo,9,9,0,3,0,216944,4.1,0,2026-07-23,INSP SitRep via INRB-UMIE
Isiro,8,8,0,5,0,512401,1.6,0,2026-07-23,INSP SitRep via INRB-UMIE
Ariwara,7,7,0,1,0,314730,2.2,0,2026-07-23,INSP SitRep via INRB-UMIE
Mambasa,7,7,0,4,0,150807,4.6,0,2026-07-23,INSP SitRep via INRB-UMIE
Pawa,7,7,0,5,0,301768,2.3,0,2026-07-23,INSP SitRep via INRB-UMIE
Rimba,7,7,0,4,0,222282,3.1,1,2026-07-23,INSP SitRep via INRB-UMIE
Wamba,7,7,0,3,0,224757,3.1,0,2026-07-23,INSP SitRep via INRB-UMIE
Boma Mangbetu,6,6,0,2,0,230104,2.6,0,2026-07-23,INSP SitRep via INRB-UMIE
Drodro,6,6,0,4,0,199996,3.0,1,2026-07-23,INSP SitRep via INRB-UMIE
Aungba,4,4,0,4,0,216787,1.8,0,2026-07-23,INSP SitRep via INRB-UMIE
Gety,4,1,3,0,0,143442,2.8,0,2026-07-23,INSP SitRep via INRB-UMIE
Lolwa,4,4,0,1,0,41314,9.7,0,2026-07-23,INSP SitRep via INRB-UMIE
Masereka,4,4,0,0,0,298636,1.3,0,2026-07-23,INSP SitRep via INRB-UMIE
Miti Murhesa,4,3,1,1,0,303983,1.3,0,2026-07-23,INSP SitRep via INRB-UMIE
Oicha,4,4,0,3,0,274998,1.5,0,2026-07-23,INSP SitRep via INRB-UMIE
Makiso Kisangani,3,3,0,3,0,535798,0.6,0,2026-07-23,INSP SitRep via INRB-UMIE
Jiba,2,0,2,0,0,75957,2.6,1,2026-07-23,INSP SitRep via INRB-UMIE
Kambala,2,2,0,0,0,140956,1.4,1,2026-07-23,INSP SitRep via INRB-UMIE
Boga,1,1,0,1,0,72028,1.4,1,2026-07-23,INSP SitRep via INRB-UMIE
Goma,1,1,0,0,0,282838,0.4,2,2026-07-23,INSP SitRep via INRB-UMIE
Lubunga (Tshopo),1,1,0,0,0,154712,0.6,0,2026-07-23,INSP SitRep via INRB-UMIE
Mabalako,1,1,0,0,0,197136,0.5,0,2026-07-23,INSP SitRep via INRB-UMIE
Mahagi,1,1,0,1,0,247893,0.4,2,2026-07-23,INSP SitRep via INRB-UMIE
Mangobo,1,1,0,1,0,188652,0.5,0,2026-07-23,INSP SitRep via INRB-UMIE
Rungu,1,1,0,0,0,194804,0.5,0,2026-07-23,INSP SitRep via INRB-UMIE
Vuhovi,1,1,0,1,0,151953,0.7,0,2026-07-23,INSP SitRep via INRB-UMIE
Karisimbi,0,0,0,0,0,403401,,0,2026-07-23,INSP SitRep via INRB-UMIE
Manguredjipa,0,0,0,0,0,68014,,0,2026-07-23,INSP SitRep via INRB-UMIE
