health_zone,total_cases,confirmed_cases,suspected_cases,confirmed_deaths,suspected_deaths,population_worldpop,attack_rate_per_100k,pcr_machines,data_date,source
Bunia,763,495,268,149,57,715169,106.7,10,2026-07-09,INSP SitRep via INRB-UMIE
Mongbalu,673,327,346,170,88,159147,422.9,2,2026-07-09,INSP SitRep via INRB-UMIE
Rwampara,614,373,241,83,71,61295,1001.7,0,2026-07-09,INSP SitRep via INRB-UMIE
Nyakunde,149,97,52,22,12,94513,157.7,2,2026-07-09,INSP SitRep via INRB-UMIE
Nizi,113,107,6,36,2,146119,77.3,0,2026-07-09,INSP SitRep via INRB-UMIE
Katwa,79,66,13,45,0,621981,12.7,0,2026-07-09,INSP SitRep via INRB-UMIE
Butembo,50,43,7,20,0,286962,17.4,2,2026-07-09,INSP SitRep via INRB-UMIE
Bambu,43,29,14,10,3,142110,30.3,0,2026-07-09,INSP SitRep via INRB-UMIE
Mangala,43,43,0,23,0,82616,52.0,1,2026-07-09,INSP SitRep via INRB-UMIE
Lita,42,42,0,17,0,91650,45.8,0,2026-07-09,INSP SitRep via INRB-UMIE
Nia-Nia,35,35,0,13,0,85262,41.0,0,2026-07-09,INSP SitRep via INRB-UMIE
Beni,30,30,0,20,0,231984,12.9,2,2026-07-09,INSP SitRep via INRB-UMIE
Komanda,25,25,0,8,0,222355,11.2,1,2026-07-09,INSP SitRep via INRB-UMIE
Kilo,17,9,8,1,2,38314,44.4,0,2026-07-09,INSP SitRep via INRB-UMIE
NA,17,17,0,0,0,0,,0,2026-07-09,INSP SitRep via INRB-UMIE
Tchomia,17,17,0,4,0,64496,26.4,1,2026-07-09,INSP SitRep via INRB-UMIE
Kalunguta,15,2,13,1,0,254340,5.9,0,2026-07-09,INSP SitRep via INRB-UMIE
Musienene,9,9,0,2,0,234680,3.8,0,2026-07-09,INSP SitRep via INRB-UMIE
Aru,7,3,4,1,1,307811,2.3,2,2026-07-09,INSP SitRep via INRB-UMIE
Logo,7,7,0,0,0,154126,4.5,0,2026-07-09,INSP SitRep via INRB-UMIE
Aungba,6,6,0,2,0,229697,2.6,0,2026-07-09,INSP SitRep via INRB-UMIE
Damas,6,5,1,0,0,88590,6.8,0,2026-07-09,INSP SitRep via INRB-UMIE
Kyondo,5,5,0,3,0,493964,1.0,0,2026-07-09,INSP SitRep via INRB-UMIE
Mambasa,5,5,0,4,0,164109,3.0,0,2026-07-09,INSP SitRep via INRB-UMIE
Mandima,5,5,0,2,0,274950,1.8,0,2026-07-09,INSP SitRep via INRB-UMIE
Fataki,4,4,0,1,0,150055,2.7,1,2026-07-09,INSP SitRep via INRB-UMIE
Gethy,4,1,3,0,0,171770,2.3,0,2026-07-09,INSP SitRep via INRB-UMIE
Miti-Murhesa,4,3,1,1,0,265959,1.5,0,2026-07-09,INSP SitRep via INRB-UMIE
Rimba,4,4,0,0,0,174926,2.3,1,2026-07-09,INSP SitRep via INRB-UMIE
Drodro,3,3,0,3,0,210812,1.4,1,2026-07-09,INSP SitRep via INRB-UMIE
Masereka,3,3,0,0,0,145642,2.1,0,2026-07-09,INSP SitRep via INRB-UMIE
Oicha,3,3,0,2,0,276791,1.1,0,2026-07-09,INSP SitRep via INRB-UMIE
Jiba,2,0,2,0,0,71960,2.8,1,2026-07-09,INSP SitRep via INRB-UMIE
Kambala,2,2,0,2,0,132028,1.5,1,2026-07-09,INSP SitRep via INRB-UMIE
Boga,1,1,0,1,0,73524,1.4,1,2026-07-09,INSP SitRep via INRB-UMIE
Goma,1,1,0,0,0,277156,0.4,2,2026-07-09,INSP SitRep via INRB-UMIE
Lolwa,1,1,0,1,0,37145,2.7,0,2026-07-09,INSP SitRep via INRB-UMIE
Mabalako,1,1,0,0,0,253373,0.4,0,2026-07-09,INSP SitRep via INRB-UMIE
Vuhovi,1,1,0,1,0,256878,0.4,0,2026-07-09,INSP SitRep via INRB-UMIE
Karisimbi,0,0,0,0,0,583594,,0,2026-07-09,INSP SitRep via INRB-UMIE
Manguredjipa,0,0,0,0,0,60156,,0,2026-07-09,INSP SitRep via INRB-UMIE
