health_zone,total_cases,confirmed_cases,suspected_cases,confirmed_deaths,suspected_deaths,population_worldpop,attack_rate_per_100k,pcr_machines,data_date,source
Bunia,1643,1375,268,430,57,509060,322.8,10,2026-08-28,INSP SitRep via INRB-UMIE
Rwampara,1180,939,241,336,71,252324,467.7,0,2026-08-28,INSP SitRep via INRB-UMIE
Mongbalu,954,608,346,285,88,157714,604.9,0,2026-08-28,INSP SitRep via INRB-UMIE
Nizi,652,646,6,258,2,129697,502.7,0,2026-08-28,INSP SitRep via INRB-UMIE
Katwa,390,377,13,253,0,612242,63.7,0,2026-08-28,INSP SitRep via INRB-UMIE
Mangala,227,227,0,117,0,89713,253.0,1,2026-08-28,INSP SitRep via INRB-UMIE
Lita,210,210,0,111,0,113364,185.2,0,2026-08-28,INSP SitRep via INRB-UMIE
Nia Nia,205,205,0,108,0,91756,223.4,0,2026-08-28,INSP SitRep via INRB-UMIE
Nyakunde,176,124,52,35,12,94004,187.2,0,2026-08-28,INSP SitRep via INRB-UMIE
Bambu,171,157,14,35,3,136151,125.6,0,2026-08-28,INSP SitRep via INRB-UMIE
Butembo,167,160,7,121,0,289378,57.7,2,2026-08-28,INSP SitRep via INRB-UMIE
Beni,128,128,0,93,0,428854,29.8,2,2026-08-28,INSP SitRep via INRB-UMIE
Isiro,79,79,0,33,0,512401,15.4,0,2026-08-28,INSP SitRep via INRB-UMIE
Wamba,76,76,0,29,0,224757,33.8,0,2026-08-28,INSP SitRep via INRB-UMIE
Musienene,75,75,0,43,0,348392,21.5,0,2026-08-28,INSP SitRep via INRB-UMIE
Fataki,74,74,0,30,0,158032,46.8,1,2026-08-28,INSP SitRep via INRB-UMIE
Komanda,72,72,0,48,0,219948,32.7,1,2026-08-28,INSP SitRep via INRB-UMIE
Tchomia,56,56,0,25,0,83917,66.7,1,2026-08-28,INSP SitRep via INRB-UMIE
Kilo,40,32,8,12,2,43139,92.7,0,2026-08-28,INSP SitRep via INRB-UMIE
