health_zone,total_cases,confirmed_cases,suspected_cases,confirmed_deaths,suspected_deaths,population_worldpop,attack_rate_per_100k,pcr_machines,data_date,source
Bunia,1723,1455,268,449,57,509060,338.5,10,2026-09-03,INSP SitRep via INRB-UMIE
Rwampara,1218,977,241,344,71,252324,482.7,0,2026-09-03,INSP SitRep via INRB-UMIE
Mongbalu,969,623,346,288,88,157714,614.4,0,2026-09-03,INSP SitRep via INRB-UMIE
Nizi,689,683,6,267,2,129697,531.2,0,2026-09-03,INSP SitRep via INRB-UMIE
Katwa,440,427,13,278,0,612242,71.9,0,2026-09-03,INSP SitRep via INRB-UMIE
Mangala,278,278,0,138,0,89713,309.9,1,2026-09-03,INSP SitRep via INRB-UMIE
Lita,231,231,0,121,0,113364,203.8,0,2026-09-03,INSP SitRep via INRB-UMIE
Nia Nia,221,221,0,113,0,91756,240.9,0,2026-09-03,INSP SitRep via INRB-UMIE
Butembo,200,193,7,136,0,289378,69.1,2,2026-09-03,INSP SitRep via INRB-UMIE
Bambu,184,170,14,36,3,136151,135.1,0,2026-09-03,INSP SitRep via INRB-UMIE
Nyakunde,176,124,52,35,12,94004,187.2,0,2026-09-03,INSP SitRep via INRB-UMIE
Beni,156,156,0,115,0,428854,36.4,2,2026-09-03,INSP SitRep via INRB-UMIE
Komanda,98,98,0,66,0,219948,44.6,1,2026-09-03,INSP SitRep via INRB-UMIE
Isiro,89,89,0,36,0,512401,17.4,0,2026-09-03,INSP SitRep via INRB-UMIE
Musienene,85,85,0,48,0,348392,24.4,0,2026-09-03,INSP SitRep via INRB-UMIE
Wamba,83,83,0,30,0,224757,36.9,0,2026-09-03,INSP SitRep via INRB-UMIE
Fataki,77,77,0,30,0,158032,48.7,1,2026-09-03,INSP SitRep via INRB-UMIE
Tchomia,60,60,0,25,0,83917,71.5,1,2026-09-03,INSP SitRep via INRB-UMIE
Kilo,40,32,8,12,2,43139,92.7,0,2026-09-03,INSP SitRep via INRB-UMIE
Pawa,39,39,0,22,0,301768,12.9,0,2026-09-03,INSP SitRep via INRB-UMIE
Mandima,36,36,0,21,0,286637,12.6,0,2026-09-03,INSP SitRep via INRB-UMIE
Damas,31,30,1,9,0,94820,32.7,0,2026-09-03,INSP SitRep via INRB-UMIE
Kalunguta,30,17,13,8,0,191732,15.6,0,2026-09-03,INSP SitRep via INRB-UMIE
Boma Mangbetu,29,29,0,14,0,230104,12.6,0,2026-09-03,INSP SitRep via INRB-UMIE
Lolwa,22,22,0,5,0,41314,53.3,0,2026-09-03,INSP SitRep via INRB-UMIE
Mambasa,17,17,0,7,0,150807,11.3,0,2026-09-03,INSP SitRep via INRB-UMIE
NA,17,17,0,0,0,0,,0,2026-09-03,INSP SitRep via INRB-UMIE
Kyondo,16,16,0,12,0,270344,5.9,0,2026-09-03,INSP SitRep via INRB-UMIE
Drodro,14,14,0,7,0,199996,7.0,1,2026-09-03,INSP SitRep via INRB-UMIE
Masereka,13,13,0,5,0,298636,4.4,0,2026-09-03,INSP SitRep via INRB-UMIE
Aru,12,8,4,6,1,329667,3.6,2,2026-09-03,INSP SitRep via INRB-UMIE
Aungba,12,12,0,5,0,216787,5.5,0,2026-09-03,INSP SitRep via INRB-UMIE
Logo,12,12,0,5,0,216944,5.5,0,2026-09-03,INSP SitRep via INRB-UMIE
Adja,11,11,0,1,0,126933,8.7,0,2026-09-03,INSP SitRep via INRB-UMIE
Rimba,11,11,0,4,0,222282,4.9,1,2026-09-03,INSP SitRep via INRB-UMIE
Makiso Kisangani,10,10,0,5,0,535798,1.9,0,2026-09-03,INSP SitRep via INRB-UMIE
Gety,9,6,3,2,0,143442,6.3,0,2026-09-03,INSP SitRep via INRB-UMIE
Ariwara,8,8,0,2,0,314730,2.5,0,2026-09-03,INSP SitRep via INRB-UMIE
Oicha,8,8,0,6,0,274998,2.9,0,2026-09-03,INSP SitRep via INRB-UMIE
Mabalako,7,7,0,5,0,197136,3.6,0,2026-09-03,INSP SitRep via INRB-UMIE
Vuhovi,6,6,0,3,0,151953,3.9,0,2026-09-03,INSP SitRep via INRB-UMIE
Kabondo,4,4,0,1,0,204629,2.0,0,2026-09-03,INSP SitRep via INRB-UMIE
Lubero,4,4,0,3,0,377506,1.1,0,2026-09-03,INSP SitRep via INRB-UMIE
Mahagi,4,4,0,1,0,247893,1.6,2,2026-09-03,INSP SitRep via INRB-UMIE
Miti Murhesa,4,3,1,1,0,303983,1.3,0,2026-09-03,INSP SitRep via INRB-UMIE
Gombari,3,3,0,1,0,122901,2.4,0,2026-09-03,INSP SitRep via INRB-UMIE
Mangobo,3,3,0,2,0,188652,1.6,0,2026-09-03,INSP SitRep via INRB-UMIE
Bafwasende,2,2,0,0,0,132264,1.5,0,2026-09-03,INSP SitRep via INRB-UMIE
Boga,2,2,0,2,0,72028,2.8,1,2026-09-03,INSP SitRep via INRB-UMIE
Ganga,2,2,0,2,0,235401,0.8,0,2026-09-03,INSP SitRep via INRB-UMIE
Jiba,2,0,2,0,0,75957,2.6,1,2026-09-03,INSP SitRep via INRB-UMIE
Kambala,2,2,0,0,0,140956,1.4,1,2026-09-03,INSP SitRep via INRB-UMIE
Manguredjipa,2,2,0,1,0,68014,2.9,0,2026-09-03,INSP SitRep via INRB-UMIE
Mutwanga,2,2,0,2,0,255278,0.8,0,2026-09-03,INSP SitRep via INRB-UMIE
Rungu,2,2,0,1,0,194804,1.0,0,2026-09-03,INSP SitRep via INRB-UMIE
Biena,1,1,0,1,0,136159,0.7,0,2026-09-03,INSP SitRep via INRB-UMIE
Buta,1,1,0,1,0,274964,0.4,0,2026-09-03,INSP SitRep via INRB-UMIE
Goma,1,1,0,0,0,282838,0.4,2,2026-09-03,INSP SitRep via INRB-UMIE
Lubunga (Tshopo),1,1,0,0,0,154712,0.6,0,2026-09-03,INSP SitRep via INRB-UMIE
Tshopo,1,1,0,0,0,172885,0.6,0,2026-09-03,INSP SitRep via INRB-UMIE
Viadana,1,1,0,0,0,187873,0.5,0,2026-09-03,INSP SitRep via INRB-UMIE
Wanierukula,1,1,0,1,0,155297,0.6,0,2026-09-03,INSP SitRep via INRB-UMIE
Karisimbi,0,0,0,0,0,403401,,0,2026-09-03,INSP SitRep via INRB-UMIE
