health_zone,total_cases,confirmed_cases,suspected_cases,confirmed_deaths,suspected_deaths,population_worldpop,attack_rate_per_100k,pcr_machines,data_date,source
Bunia,1934,1666,268,523,57,509060,379.9,10,2026-09-21,INSP SitRep via INRB-UMIE
Rwampara,1297,1056,241,358,71,252324,514.0,0,2026-09-21,INSP SitRep via INRB-UMIE
Mongbalu,1037,691,346,322,88,157714,657.5,0,2026-09-21,INSP SitRep via INRB-UMIE
Nizi,767,761,6,276,2,129697,591.4,0,2026-09-21,INSP SitRep via INRB-UMIE
Katwa,557,544,13,344,0,612242,91.0,0,2026-09-21,INSP SitRep via INRB-UMIE
Mangala,341,341,0,149,0,89713,380.1,1,2026-09-21,INSP SitRep via INRB-UMIE
Beni,289,289,0,204,0,428854,67.4,2,2026-09-21,INSP SitRep via INRB-UMIE
Lita,276,276,0,138,0,113364,243.5,0,2026-09-21,INSP SitRep via INRB-UMIE
Nia Nia,269,269,0,148,0,91756,293.2,0,2026-09-21,INSP SitRep via INRB-UMIE
Butembo,260,253,7,162,0,289378,89.8,2,2026-09-21,INSP SitRep via INRB-UMIE
Bambu,210,196,14,41,3,136151,154.2,0,2026-09-21,INSP SitRep via INRB-UMIE
Nyakunde,179,127,52,36,12,94004,190.4,0,2026-09-21,INSP SitRep via INRB-UMIE
Komanda,147,147,0,91,0,219948,66.8,1,2026-09-21,INSP SitRep via INRB-UMIE
Musienene,121,121,0,65,0,348392,34.7,0,2026-09-21,INSP SitRep via INRB-UMIE
Wamba,105,105,0,36,0,224757,46.7,0,2026-09-21,INSP SitRep via INRB-UMIE
Isiro,99,99,0,43,0,512401,19.3,0,2026-09-21,INSP SitRep via INRB-UMIE
Fataki,81,81,0,30,0,158032,51.3,1,2026-09-21,INSP SitRep via INRB-UMIE
Tchomia,75,75,0,25,0,83917,89.4,1,2026-09-21,INSP SitRep via INRB-UMIE
Pawa,70,70,0,32,0,301768,23.2,0,2026-09-21,INSP SitRep via INRB-UMIE
Kalunguta,62,49,13,16,0,191732,32.3,0,2026-09-21,INSP SitRep via INRB-UMIE
