health_zone,total_cases,confirmed_cases,suspected_cases,confirmed_deaths,suspected_deaths,population_worldpop,attack_rate_per_100k,pcr_machines,data_date,source
Bunia,1665,1397,268,437,57,509060,327.1,10,2026-08-30,INSP SitRep via INRB-UMIE
Rwampara,1191,950,241,338,71,252324,472.0,0,2026-08-30,INSP SitRep via INRB-UMIE
Mongbalu,956,610,346,285,88,157714,606.2,0,2026-08-30,INSP SitRep via INRB-UMIE
Nizi,668,662,6,261,2,129697,515.0,0,2026-08-30,INSP SitRep via INRB-UMIE
Katwa,403,390,13,257,0,612242,65.8,0,2026-08-30,INSP SitRep via INRB-UMIE
Mangala,246,246,0,127,0,89713,274.2,1,2026-08-30,INSP SitRep via INRB-UMIE
Lita,218,218,0,119,0,113364,192.3,0,2026-08-30,INSP SitRep via INRB-UMIE
Nia Nia,215,215,0,113,0,91756,234.3,0,2026-08-30,INSP SitRep via INRB-UMIE
Nyakunde,176,124,52,35,12,94004,187.2,0,2026-08-30,INSP SitRep via INRB-UMIE
Bambu,175,161,14,36,3,136151,128.5,0,2026-08-30,INSP SitRep via INRB-UMIE
Butembo,172,165,7,124,0,289378,59.4,2,2026-08-30,INSP SitRep via INRB-UMIE
Beni,138,138,0,100,0,428854,32.2,2,2026-08-30,INSP SitRep via INRB-UMIE
Isiro,81,81,0,33,0,512401,15.8,0,2026-08-30,INSP SitRep via INRB-UMIE
Musienene,79,79,0,46,0,348392,22.7,0,2026-08-30,INSP SitRep via INRB-UMIE
Komanda,78,78,0,51,0,219948,35.5,1,2026-08-30,INSP SitRep via INRB-UMIE
Wamba,77,77,0,30,0,224757,34.3,0,2026-08-30,INSP SitRep via INRB-UMIE
Fataki,76,76,0,30,0,158032,48.1,1,2026-08-30,INSP SitRep via INRB-UMIE
Tchomia,57,57,0,25,0,83917,67.9,1,2026-08-30,INSP SitRep via INRB-UMIE
Kilo,40,32,8,12,2,43139,92.7,0,2026-08-30,INSP SitRep via INRB-UMIE
Mandima,36,36,0,21,0,286637,12.6,0,2026-08-30,INSP SitRep via INRB-UMIE
Pawa,33,33,0,19,0,301768,10.9,0,2026-08-30,INSP SitRep via INRB-UMIE
Damas,29,28,1,9,0,94820,30.6,0,2026-08-30,INSP SitRep via INRB-UMIE
Kalunguta,29,16,13,7,0,191732,15.1,0,2026-08-30,INSP SitRep via INRB-UMIE
Boma Mangbetu,27,27,0,14,0,230104,11.7,0,2026-08-30,INSP SitRep via INRB-UMIE
