health_zone,total_cases,confirmed_cases,suspected_cases,confirmed_deaths,suspected_deaths,population_worldpop,attack_rate_per_100k,pcr_machines,data_date,source
Bunia,1879,1611,268,510,57,509060,369.1,10,2026-09-15,INSP SitRep via INRB-UMIE
Rwampara,1270,1029,241,350,71,252324,503.3,0,2026-09-15,INSP SitRep via INRB-UMIE
Mongbalu,1016,670,346,307,88,157714,644.2,0,2026-09-15,INSP SitRep via INRB-UMIE
Nizi,748,742,6,273,2,129697,576.7,0,2026-09-15,INSP SitRep via INRB-UMIE
Katwa,546,533,13,337,0,612242,89.2,0,2026-09-15,INSP SitRep via INRB-UMIE
Mangala,322,322,0,146,0,89713,358.9,1,2026-09-15,INSP SitRep via INRB-UMIE
Lita,264,264,0,130,0,113364,232.9,0,2026-09-15,INSP SitRep via INRB-UMIE
Butembo,249,242,7,157,0,289378,86.0,2,2026-09-15,INSP SitRep via INRB-UMIE
Nia Nia,248,248,0,128,0,91756,270.3,0,2026-09-15,INSP SitRep via INRB-UMIE
Beni,241,241,0,178,0,428854,56.2,2,2026-09-15,INSP SitRep via INRB-UMIE
Bambu,193,179,14,39,3,136151,141.8,0,2026-09-15,INSP SitRep via INRB-UMIE
Nyakunde,177,125,52,36,12,94004,188.3,0,2026-09-15,INSP SitRep via INRB-UMIE
Komanda,136,136,0,88,0,219948,61.8,1,2026-09-15,INSP SitRep via INRB-UMIE
Musienene,117,117,0,64,0,348392,33.6,0,2026-09-15,INSP SitRep via INRB-UMIE
Isiro,98,98,0,42,0,512401,19.1,0,2026-09-15,INSP SitRep via INRB-UMIE
Wamba,92,92,0,33,0,224757,40.9,0,2026-09-15,INSP SitRep via INRB-UMIE
Fataki,79,79,0,30,0,158032,50.0,1,2026-09-15,INSP SitRep via INRB-UMIE
Tchomia,75,75,0,25,0,83917,89.4,1,2026-09-15,INSP SitRep via INRB-UMIE
Pawa,61,61,0,26,0,301768,20.2,0,2026-09-15,INSP SitRep via INRB-UMIE
Mandima,57,57,0,32,0,286637,19.9,0,2026-09-15,INSP SitRep via INRB-UMIE
Kalunguta,49,36,13,12,0,191732,25.6,0,2026-09-15,INSP SitRep via INRB-UMIE
Damas,41,40,1,9,0,94820,43.2,0,2026-09-15,INSP SitRep via INRB-UMIE
Kilo,41,33,8,12,2,43139,95.0,0,2026-09-15,INSP SitRep via INRB-UMIE
Boma Mangbetu,34,34,0,15,0,230104,14.8,0,2026-09-15,INSP SitRep via INRB-UMIE
Lolwa,31,31,0,8,0,41314,75.0,0,2026-09-15,INSP SitRep via INRB-UMIE
Kyondo,30,30,0,20,0,270344,11.1,0,2026-09-15,INSP SitRep via INRB-UMIE
Masereka,23,23,0,9,0,298636,7.7,0,2026-09-15,INSP SitRep via INRB-UMIE
Vuhovi,20,20,0,6,0,151953,13.2,0,2026-09-15,INSP SitRep via INRB-UMIE
