health_zone,total_cases,confirmed_cases,suspected_cases,confirmed_deaths,suspected_deaths,population_worldpop,attack_rate_per_100k,pcr_machines,data_date,source
Bunia,706,438,268,118,57,715169,98.7,10,2026-07-04,INSP SitRep via INRB-UMIE
Mongbalu,624,278,346,141,88,159147,392.1,2,2026-07-04,INSP SitRep via INRB-UMIE
Rwampara,585,344,241,71,71,61295,954.4,0,2026-07-04,INSP SitRep via INRB-UMIE
Nyakunde,147,95,52,17,12,94513,155.5,2,2026-07-04,INSP SitRep via INRB-UMIE
Nizi,78,72,6,19,2,146119,53.4,0,2026-07-04,INSP SitRep via INRB-UMIE
Katwa,65,52,13,38,0,621981,10.5,0,2026-07-04,INSP SitRep via INRB-UMIE
Butembo,47,40,7,18,0,286962,16.4,2,2026-07-04,INSP SitRep via INRB-UMIE
Lita,33,33,0,12,0,91650,36.0,0,2026-07-04,INSP SitRep via INRB-UMIE
Bambu,32,18,14,5,3,142110,22.5,0,2026-07-04,INSP SitRep via INRB-UMIE
Beni,29,29,0,17,0,231984,12.5,2,2026-07-04,INSP SitRep via INRB-UMIE
Mangala,26,26,0,14,0,82616,31.5,1,2026-07-04,INSP SitRep via INRB-UMIE
Komanda,22,22,0,8,0,222355,9.9,1,2026-07-04,INSP SitRep via INRB-UMIE
Kilo,17,9,8,1,2,38314,44.4,0,2026-07-04,INSP SitRep via INRB-UMIE
NA,17,17,0,0,0,0,,0,2026-07-04,INSP SitRep via INRB-UMIE
Kalunguta,15,2,13,1,0,254340,5.9,0,2026-07-04,INSP SitRep via INRB-UMIE
Tchomia,15,15,0,2,0,64496,23.3,1,2026-07-04,INSP SitRep via INRB-UMIE
Nia-Nia,12,12,0,5,0,85262,14.1,0,2026-07-04,INSP SitRep via INRB-UMIE
Aru,7,3,4,1,1,307811,2.3,2,2026-07-04,INSP SitRep via INRB-UMIE
Logo,7,7,0,0,0,154126,4.5,0,2026-07-04,INSP SitRep via INRB-UMIE
Aungba,6,6,0,2,0,229697,2.6,0,2026-07-04,INSP SitRep via INRB-UMIE
Damas,6,5,1,0,0,88590,6.8,0,2026-07-04,INSP SitRep via INRB-UMIE
Musienene,6,6,0,2,0,234680,2.6,0,2026-07-04,INSP SitRep via INRB-UMIE
Gethy,4,1,3,0,0,171770,2.3,0,2026-07-04,INSP SitRep via INRB-UMIE
Kyondo,4,4,0,2,0,493964,0.8,0,2026-07-04,INSP SitRep via INRB-UMIE
Mandima,4,4,0,1,0,274950,1.5,0,2026-07-04,INSP SitRep via INRB-UMIE
Miti-Murhesa,4,3,1,1,0,265959,1.5,0,2026-07-04,INSP SitRep via INRB-UMIE
Drodro,3,3,0,3,0,210812,1.4,1,2026-07-04,INSP SitRep via INRB-UMIE
Oicha,3,3,0,2,0,276791,1.1,0,2026-07-04,INSP SitRep via INRB-UMIE
Rimba,3,3,0,0,0,174926,1.7,1,2026-07-04,INSP SitRep via INRB-UMIE
Jiba,2,0,2,0,0,71960,2.8,1,2026-07-04,INSP SitRep via INRB-UMIE
Kambala,2,2,0,2,0,132028,1.5,1,2026-07-04,INSP SitRep via INRB-UMIE
Mambasa,2,2,0,1,0,164109,1.2,0,2026-07-04,INSP SitRep via INRB-UMIE
Masereka,2,2,0,0,0,145642,1.4,0,2026-07-04,INSP SitRep via INRB-UMIE
Fataki,1,1,0,0,0,150055,0.7,1,2026-07-04,INSP SitRep via INRB-UMIE
Goma,1,1,0,0,0,277156,0.4,2,2026-07-04,INSP SitRep via INRB-UMIE
Lolwa,1,1,0,1,0,37145,2.7,0,2026-07-04,INSP SitRep via INRB-UMIE
Mabalako,1,1,0,0,0,253373,0.4,0,2026-07-04,INSP SitRep via INRB-UMIE
Vuhovi,1,1,0,1,0,256878,0.4,0,2026-07-04,INSP SitRep via INRB-UMIE
Karisimbi,0,0,0,0,0,583594,,0,2026-07-04,INSP SitRep via INRB-UMIE
Manguredjipa,0,0,0,0,0,60156,,0,2026-07-04,INSP SitRep via INRB-UMIE
