health_zone,total_cases,confirmed_cases,suspected_cases,confirmed_deaths,suspected_deaths,population_worldpop,attack_rate_per_100k,pcr_machines,data_date,source
Bunia,1604,1336,268,421,57,509060,315.1,10,2026-08-26,INSP SitRep via INRB-UMIE
Rwampara,1171,930,241,336,71,252324,464.1,0,2026-08-26,INSP SitRep via INRB-UMIE
Mongbalu,952,606,346,284,88,157714,603.6,0,2026-08-26,INSP SitRep via INRB-UMIE
Nizi,642,636,6,254,2,129697,495.0,0,2026-08-26,INSP SitRep via INRB-UMIE
Katwa,381,368,13,246,0,612242,62.2,0,2026-08-26,INSP SitRep via INRB-UMIE
Mangala,212,212,0,114,0,89713,236.3,1,2026-08-26,INSP SitRep via INRB-UMIE
Lita,204,204,0,111,0,113364,180.0,0,2026-08-26,INSP SitRep via INRB-UMIE
Nia Nia,199,199,0,108,0,91756,216.9,0,2026-08-26,INSP SitRep via INRB-UMIE
Nyakunde,176,124,52,35,12,94004,187.2,0,2026-08-26,INSP SitRep via INRB-UMIE
Bambu,163,149,14,29,3,136151,119.7,0,2026-08-26,INSP SitRep via INRB-UMIE
Butembo,159,152,7,116,0,289378,54.9,2,2026-08-26,INSP SitRep via INRB-UMIE
Beni,122,122,0,87,0,428854,28.4,2,2026-08-26,INSP SitRep via INRB-UMIE
Isiro,78,78,0,32,0,512401,15.2,0,2026-08-26,INSP SitRep via INRB-UMIE
Musienene,74,74,0,43,0,348392,21.2,0,2026-08-26,INSP SitRep via INRB-UMIE
Fataki,73,73,0,30,0,158032,46.2,1,2026-08-26,INSP SitRep via INRB-UMIE
Wamba,66,66,0,27,0,224757,29.4,0,2026-08-26,INSP SitRep via INRB-UMIE
Komanda,65,65,0,42,0,219948,29.6,1,2026-08-26,INSP SitRep via INRB-UMIE
Tchomia,55,55,0,25,0,83917,65.5,1,2026-08-26,INSP SitRep via INRB-UMIE
Kilo,40,32,8,12,2,43139,92.7,0,2026-08-26,INSP SitRep via INRB-UMIE
Mandima,33,33,0,19,0,286637,11.5,0,2026-08-26,INSP SitRep via INRB-UMIE
Kalunguta,29,16,13,7,0,191732,15.1,0,2026-08-26,INSP SitRep via INRB-UMIE
Damas,28,27,1,9,0,94820,29.5,0,2026-08-26,INSP SitRep via INRB-UMIE
Boma Mangbetu,26,26,0,14,0,230104,11.3,0,2026-08-26,INSP SitRep via INRB-UMIE
Pawa,20,20,0,16,0,301768,6.6,0,2026-08-26,INSP SitRep via INRB-UMIE
