health_zone,total_cases,confirmed_cases,suspected_cases,confirmed_deaths,suspected_deaths,population_worldpop,attack_rate_per_100k,pcr_machines,data_date,source
Bunia,1182,914,268,270,57,509060,232.2,10,2026-08-02,INSP SitRep via INRB-UMIE
Mongbalu,898,552,346,263,88,157714,569.4,0,2026-08-02,INSP SitRep via INRB-UMIE
Rwampara,896,655,241,263,71,252324,355.1,0,2026-08-02,INSP SitRep via INRB-UMIE
Nizi,408,402,6,194,2,129697,314.6,0,2026-08-02,INSP SitRep via INRB-UMIE
Katwa,199,186,13,122,0,612242,32.5,0,2026-08-02,INSP SitRep via INRB-UMIE
Nyakunde,167,115,52,34,12,94004,177.7,0,2026-08-02,INSP SitRep via INRB-UMIE
Lita,141,141,0,84,0,113364,124.4,0,2026-08-02,INSP SitRep via INRB-UMIE
Mangala,105,105,0,66,0,89713,117.0,1,2026-08-02,INSP SitRep via INRB-UMIE
Nia Nia,104,104,0,57,0,91756,113.3,0,2026-08-02,INSP SitRep via INRB-UMIE
Butembo,94,87,7,69,0,289378,32.5,2,2026-08-02,INSP SitRep via INRB-UMIE
Bambu,78,64,14,15,3,136151,57.3,0,2026-08-02,INSP SitRep via INRB-UMIE
Beni,64,64,0,49,0,428854,14.9,2,2026-08-02,INSP SitRep via INRB-UMIE
Musienene,43,43,0,25,0,348392,12.3,0,2026-08-02,INSP SitRep via INRB-UMIE
Tchomia,43,43,0,24,0,83917,51.2,1,2026-08-02,INSP SitRep via INRB-UMIE
Kilo,37,29,8,11,2,43139,85.8,0,2026-08-02,INSP SitRep via INRB-UMIE
Komanda,37,37,0,27,0,219948,16.8,1,2026-08-02,INSP SitRep via INRB-UMIE
Fataki,35,35,0,17,0,158032,22.1,1,2026-08-02,INSP SitRep via INRB-UMIE
Kalunguta,20,7,13,4,0,191732,10.4,0,2026-08-02,INSP SitRep via INRB-UMIE
Damas,19,18,1,8,0,94820,20.0,0,2026-08-02,INSP SitRep via INRB-UMIE
Isiro,19,19,0,11,0,512401,3.7,0,2026-08-02,INSP SitRep via INRB-UMIE
NA,17,17,0,0,0,0,,0,2026-08-02,INSP SitRep via INRB-UMIE
Mandima,16,16,0,12,0,286637,5.6,0,2026-08-02,INSP SitRep via INRB-UMIE
Wamba,16,16,0,9,0,224757,7.1,0,2026-08-02,INSP SitRep via INRB-UMIE
Boma Mangbetu,13,13,0,4,0,230104,5.6,0,2026-08-02,INSP SitRep via INRB-UMIE
Kyondo,13,13,0,10,0,270344,4.8,0,2026-08-02,INSP SitRep via INRB-UMIE
Pawa,12,12,0,10,0,301768,4.0,0,2026-08-02,INSP SitRep via INRB-UMIE
Adja,11,11,0,1,0,126933,8.7,0,2026-08-02,INSP SitRep via INRB-UMIE
Drodro,11,11,0,6,0,199996,5.5,1,2026-08-02,INSP SitRep via INRB-UMIE
Aungba,10,10,0,5,0,216787,4.6,0,2026-08-02,INSP SitRep via INRB-UMIE
Mambasa,10,10,0,6,0,150807,6.6,0,2026-08-02,INSP SitRep via INRB-UMIE
Aru,9,5,4,5,1,329667,2.7,2,2026-08-02,INSP SitRep via INRB-UMIE
Logo,9,9,0,4,0,216944,4.1,0,2026-08-02,INSP SitRep via INRB-UMIE
Rimba,9,9,0,4,0,222282,4.0,1,2026-08-02,INSP SitRep via INRB-UMIE
Ariwara,7,7,0,2,0,314730,2.2,0,2026-08-02,INSP SitRep via INRB-UMIE
Lolwa,7,7,0,2,0,41314,16.9,0,2026-08-02,INSP SitRep via INRB-UMIE
Masereka,5,5,0,1,0,298636,1.7,0,2026-08-02,INSP SitRep via INRB-UMIE
Gety,4,1,3,0,0,143442,2.8,0,2026-08-02,INSP SitRep via INRB-UMIE
Mahagi,4,4,0,1,0,247893,1.6,2,2026-08-02,INSP SitRep via INRB-UMIE
Miti Murhesa,4,3,1,1,0,303983,1.3,0,2026-08-02,INSP SitRep via INRB-UMIE
Oicha,4,4,0,3,0,274998,1.5,0,2026-08-02,INSP SitRep via INRB-UMIE
Makiso Kisangani,3,3,0,3,0,535798,0.6,0,2026-08-02,INSP SitRep via INRB-UMIE
Jiba,2,0,2,0,0,75957,2.6,1,2026-08-02,INSP SitRep via INRB-UMIE
Kambala,2,2,0,0,0,140956,1.4,1,2026-08-02,INSP SitRep via INRB-UMIE
Vuhovi,2,2,0,1,0,151953,1.3,0,2026-08-02,INSP SitRep via INRB-UMIE
Boga,1,1,0,1,0,72028,1.4,1,2026-08-02,INSP SitRep via INRB-UMIE
Goma,1,1,0,0,0,282838,0.4,2,2026-08-02,INSP SitRep via INRB-UMIE
Kabondo,1,1,0,1,0,204629,0.5,0,2026-08-02,INSP SitRep via INRB-UMIE
Lubero,1,1,0,1,0,377506,0.3,0,2026-08-02,INSP SitRep via INRB-UMIE
Lubunga (Tshopo),1,1,0,0,0,154712,0.6,0,2026-08-02,INSP SitRep via INRB-UMIE
Mabalako,1,1,0,0,0,197136,0.5,0,2026-08-02,INSP SitRep via INRB-UMIE
Mangobo,1,1,0,1,0,188652,0.5,0,2026-08-02,INSP SitRep via INRB-UMIE
Rungu,1,1,0,0,0,194804,0.5,0,2026-08-02,INSP SitRep via INRB-UMIE
Wanierukula,1,1,0,0,0,155297,0.6,0,2026-08-02,INSP SitRep via INRB-UMIE
Karisimbi,0,0,0,0,0,403401,,0,2026-08-02,INSP SitRep via INRB-UMIE
Manguredjipa,0,0,0,0,0,68014,,0,2026-08-02,INSP SitRep via INRB-UMIE
