health_zone,total_cases,confirmed_cases,suspected_cases,confirmed_deaths,suspected_deaths,population_worldpop,attack_rate_per_100k,pcr_machines,data_date,source
Bunia,1069,801,268,232,57,509060,210.0,10,2026-07-27,INSP SitRep via INRB-UMIE
Mongbalu,874,528,346,252,88,157714,554.2,0,2026-07-27,INSP SitRep via INRB-UMIE
Rwampara,826,585,241,244,71,252324,327.4,0,2026-07-27,INSP SitRep via INRB-UMIE
Nizi,366,360,6,172,2,129697,282.2,0,2026-07-27,INSP SitRep via INRB-UMIE
Nyakunde,166,114,52,31,12,94004,176.6,0,2026-07-27,INSP SitRep via INRB-UMIE
Katwa,158,145,13,91,0,612242,25.8,0,2026-07-27,INSP SitRep via INRB-UMIE
Lita,121,121,0,67,0,113364,106.7,0,2026-07-27,INSP SitRep via INRB-UMIE
Mangala,100,100,0,64,0,89713,111.5,1,2026-07-27,INSP SitRep via INRB-UMIE
Nia Nia,92,92,0,48,0,91756,100.3,0,2026-07-27,INSP SitRep via INRB-UMIE
Butembo,82,75,7,61,0,289378,28.3,2,2026-07-27,INSP SitRep via INRB-UMIE
Bambu,71,57,14,12,3,136151,52.1,0,2026-07-27,INSP SitRep via INRB-UMIE
Beni,46,46,0,37,0,428854,10.7,2,2026-07-27,INSP SitRep via INRB-UMIE
Tchomia,41,41,0,24,0,83917,48.9,1,2026-07-27,INSP SitRep via INRB-UMIE
Kilo,36,28,8,11,2,43139,83.5,0,2026-07-27,INSP SitRep via INRB-UMIE
Komanda,36,36,0,25,0,219948,16.4,1,2026-07-27,INSP SitRep via INRB-UMIE
Musienene,31,31,0,20,0,348392,8.9,0,2026-07-27,INSP SitRep via INRB-UMIE
Kalunguta,18,5,13,3,0,191732,9.4,0,2026-07-27,INSP SitRep via INRB-UMIE
Damas,17,16,1,8,0,94820,17.9,0,2026-07-27,INSP SitRep via INRB-UMIE
Fataki,17,17,0,6,0,158032,10.8,1,2026-07-27,INSP SitRep via INRB-UMIE
NA,17,17,0,0,0,0,,0,2026-07-27,INSP SitRep via INRB-UMIE
Mandima,16,16,0,12,0,286637,5.6,0,2026-07-27,INSP SitRep via INRB-UMIE
Isiro,12,12,0,7,0,512401,2.3,0,2026-07-27,INSP SitRep via INRB-UMIE
Kyondo,12,12,0,7,0,270344,4.4,0,2026-07-27,INSP SitRep via INRB-UMIE
Adja,11,11,0,1,0,126933,8.7,0,2026-07-27,INSP SitRep via INRB-UMIE
Wamba,11,11,0,4,0,224757,4.9,0,2026-07-27,INSP SitRep via INRB-UMIE
Drodro,10,10,0,5,0,199996,5.0,1,2026-07-27,INSP SitRep via INRB-UMIE
Aru,9,5,4,5,1,329667,2.7,2,2026-07-27,INSP SitRep via INRB-UMIE
Logo,9,9,0,3,0,216944,4.1,0,2026-07-27,INSP SitRep via INRB-UMIE
Mambasa,9,9,0,4,0,150807,6.0,0,2026-07-27,INSP SitRep via INRB-UMIE
Pawa,8,8,0,6,0,301768,2.7,0,2026-07-27,INSP SitRep via INRB-UMIE
Rimba,8,8,0,4,0,222282,3.6,1,2026-07-27,INSP SitRep via INRB-UMIE
Ariwara,7,7,0,1,0,314730,2.2,0,2026-07-27,INSP SitRep via INRB-UMIE
Boma Mangbetu,7,7,0,4,0,230104,3.0,0,2026-07-27,INSP SitRep via INRB-UMIE
Aungba,5,5,0,4,0,216787,2.3,0,2026-07-27,INSP SitRep via INRB-UMIE
Gety,4,1,3,0,0,143442,2.8,0,2026-07-27,INSP SitRep via INRB-UMIE
Lolwa,4,4,0,1,0,41314,9.7,0,2026-07-27,INSP SitRep via INRB-UMIE
Mahagi,4,4,0,1,0,247893,1.6,2,2026-07-27,INSP SitRep via INRB-UMIE
Masereka,4,4,0,0,0,298636,1.3,0,2026-07-27,INSP SitRep via INRB-UMIE
Miti Murhesa,4,3,1,1,0,303983,1.3,0,2026-07-27,INSP SitRep via INRB-UMIE
Oicha,4,4,0,3,0,274998,1.5,0,2026-07-27,INSP SitRep via INRB-UMIE
Makiso Kisangani,3,3,0,3,0,535798,0.6,0,2026-07-27,INSP SitRep via INRB-UMIE
Jiba,2,0,2,0,0,75957,2.6,1,2026-07-27,INSP SitRep via INRB-UMIE
Kambala,2,2,0,0,0,140956,1.4,1,2026-07-27,INSP SitRep via INRB-UMIE
Boga,1,1,0,1,0,72028,1.4,1,2026-07-27,INSP SitRep via INRB-UMIE
Goma,1,1,0,0,0,282838,0.4,2,2026-07-27,INSP SitRep via INRB-UMIE
Lubunga (Tshopo),1,1,0,0,0,154712,0.6,0,2026-07-27,INSP SitRep via INRB-UMIE
Mabalako,1,1,0,0,0,197136,0.5,0,2026-07-27,INSP SitRep via INRB-UMIE
Mangobo,1,1,0,1,0,188652,0.5,0,2026-07-27,INSP SitRep via INRB-UMIE
Rungu,1,1,0,0,0,194804,0.5,0,2026-07-27,INSP SitRep via INRB-UMIE
Vuhovi,1,1,0,1,0,151953,0.7,0,2026-07-27,INSP SitRep via INRB-UMIE
Karisimbi,0,0,0,0,0,403401,,0,2026-07-27,INSP SitRep via INRB-UMIE
Manguredjipa,0,0,0,0,0,68014,,0,2026-07-27,INSP SitRep via INRB-UMIE
