health_zone,total_cases,confirmed_cases,suspected_cases,confirmed_deaths,suspected_deaths,population_worldpop,attack_rate_per_100k,pcr_machines,data_date,source
Bunia,1173,905,268,262,57,509060,230.4,10,2026-08-01,INSP SitRep via INRB-UMIE
Mongbalu,896,550,346,261,88,157714,568.1,0,2026-08-01,INSP SitRep via INRB-UMIE
Rwampara,885,644,241,260,71,252324,350.7,0,2026-08-01,INSP SitRep via INRB-UMIE
Nizi,403,397,6,192,2,129697,310.7,0,2026-08-01,INSP SitRep via INRB-UMIE
Katwa,193,180,13,108,0,612242,31.5,0,2026-08-01,INSP SitRep via INRB-UMIE
Nyakunde,167,115,52,34,12,94004,177.7,0,2026-08-01,INSP SitRep via INRB-UMIE
Lita,137,137,0,80,0,113364,120.8,0,2026-08-01,INSP SitRep via INRB-UMIE
Mangala,105,105,0,66,0,89713,117.0,1,2026-08-01,INSP SitRep via INRB-UMIE
Nia Nia,103,103,0,56,0,91756,112.3,0,2026-08-01,INSP SitRep via INRB-UMIE
Butembo,95,88,7,67,0,289378,32.8,2,2026-08-01,INSP SitRep via INRB-UMIE
Bambu,74,60,14,13,3,136151,54.4,0,2026-08-01,INSP SitRep via INRB-UMIE
Beni,61,61,0,49,0,428854,14.2,2,2026-08-01,INSP SitRep via INRB-UMIE
Musienene,41,41,0,23,0,348392,11.8,0,2026-08-01,INSP SitRep via INRB-UMIE
Tchomia,41,41,0,24,0,83917,48.9,1,2026-08-01,INSP SitRep via INRB-UMIE
Kilo,37,29,8,11,2,43139,85.8,0,2026-08-01,INSP SitRep via INRB-UMIE
Komanda,37,37,0,27,0,219948,16.8,1,2026-08-01,INSP SitRep via INRB-UMIE
Fataki,35,35,0,17,0,158032,22.1,1,2026-08-01,INSP SitRep via INRB-UMIE
Damas,19,18,1,8,0,94820,20.0,0,2026-08-01,INSP SitRep via INRB-UMIE
Isiro,19,19,0,9,0,512401,3.7,0,2026-08-01,INSP SitRep via INRB-UMIE
Kalunguta,19,6,13,3,0,191732,9.9,0,2026-08-01,INSP SitRep via INRB-UMIE
NA,17,17,0,0,0,0,,0,2026-08-01,INSP SitRep via INRB-UMIE
Mandima,16,16,0,12,0,286637,5.6,0,2026-08-01,INSP SitRep via INRB-UMIE
Wamba,16,16,0,8,0,224757,7.1,0,2026-08-01,INSP SitRep via INRB-UMIE
Kyondo,13,13,0,8,0,270344,4.8,0,2026-08-01,INSP SitRep via INRB-UMIE
Boma Mangbetu,12,12,0,4,0,230104,5.2,0,2026-08-01,INSP SitRep via INRB-UMIE
Pawa,12,12,0,9,0,301768,4.0,0,2026-08-01,INSP SitRep via INRB-UMIE
Adja,11,11,0,1,0,126933,8.7,0,2026-08-01,INSP SitRep via INRB-UMIE
Drodro,11,11,0,6,0,199996,5.5,1,2026-08-01,INSP SitRep via INRB-UMIE
Mambasa,10,10,0,6,0,150807,6.6,0,2026-08-01,INSP SitRep via INRB-UMIE
Aru,9,5,4,5,1,329667,2.7,2,2026-08-01,INSP SitRep via INRB-UMIE
Aungba,9,9,0,5,0,216787,4.2,0,2026-08-01,INSP SitRep via INRB-UMIE
Logo,9,9,0,3,0,216944,4.1,0,2026-08-01,INSP SitRep via INRB-UMIE
Rimba,9,9,0,4,0,222282,4.0,1,2026-08-01,INSP SitRep via INRB-UMIE
Ariwara,7,7,0,2,0,314730,2.2,0,2026-08-01,INSP SitRep via INRB-UMIE
Lolwa,7,7,0,2,0,41314,16.9,0,2026-08-01,INSP SitRep via INRB-UMIE
Gety,4,1,3,0,0,143442,2.8,0,2026-08-01,INSP SitRep via INRB-UMIE
Mahagi,4,4,0,1,0,247893,1.6,2,2026-08-01,INSP SitRep via INRB-UMIE
Masereka,4,4,0,0,0,298636,1.3,0,2026-08-01,INSP SitRep via INRB-UMIE
Miti Murhesa,4,3,1,1,0,303983,1.3,0,2026-08-01,INSP SitRep via INRB-UMIE
Oicha,4,4,0,3,0,274998,1.5,0,2026-08-01,INSP SitRep via INRB-UMIE
Makiso Kisangani,3,3,0,3,0,535798,0.6,0,2026-08-01,INSP SitRep via INRB-UMIE
Jiba,2,0,2,0,0,75957,2.6,1,2026-08-01,INSP SitRep via INRB-UMIE
Kambala,2,2,0,0,0,140956,1.4,1,2026-08-01,INSP SitRep via INRB-UMIE
Boga,1,1,0,1,0,72028,1.4,1,2026-08-01,INSP SitRep via INRB-UMIE
Goma,1,1,0,0,0,282838,0.4,2,2026-08-01,INSP SitRep via INRB-UMIE
Kabondo,1,1,0,1,0,204629,0.5,0,2026-08-01,INSP SitRep via INRB-UMIE
Lubunga (Tshopo),1,1,0,0,0,154712,0.6,0,2026-08-01,INSP SitRep via INRB-UMIE
Mabalako,1,1,0,0,0,197136,0.5,0,2026-08-01,INSP SitRep via INRB-UMIE
Mangobo,1,1,0,1,0,188652,0.5,0,2026-08-01,INSP SitRep via INRB-UMIE
Rungu,1,1,0,0,0,194804,0.5,0,2026-08-01,INSP SitRep via INRB-UMIE
Vuhovi,1,1,0,1,0,151953,0.7,0,2026-08-01,INSP SitRep via INRB-UMIE
Wanierukula,1,1,0,0,0,155297,0.6,0,2026-08-01,INSP SitRep via INRB-UMIE
Karisimbi,0,0,0,0,0,403401,,0,2026-08-01,INSP SitRep via INRB-UMIE
Manguredjipa,0,0,0,0,0,68014,,0,2026-08-01,INSP SitRep via INRB-UMIE
