date,confirmed_cases,suspected_cases,confirmed_deaths,suspected_deaths,total_cases,total_deaths,_nd_fields,_adjustments,_flags
2026-05-14,0,0,,,0,,['suspected_deaths'],[],['deaths_before_cases: confirmed_deaths > 0 while confirmed_cases == 0 — unaligned at source']
2026-05-15,13,80,0,0,93,0,[],[],[]
2026-05-18,33,516,4,131,549,135,[],[],[]
2026-05-19,51,575,4,148,626,152,[],[],[]
2026-05-20,57,672,6,160,729,166,[],[],[]
2026-05-21,79,745,9,176,824,185,[],[],[]
2026-05-22,83,872,10,,955,,['suspected_deaths'],[],[]
2026-05-23,95,905,10,220,1000,230,[],[],[]
2026-05-24,101,893,10,223,994,233,[],"[{'field': 'suspected_cases', 'from': 905, 'to': 893, 'delta': -12, 'type': 'reclassification', 'date': '2026-05-24'}, {'field': 'total_cases', 'from': 1000, 'to': 994, 'delta': -6, 'type': 'reclassification', 'date': '2026-05-24'}]",[]
2026-05-25,100,998,12,238,1098,250,[],"[{'field': 'confirmed_cases', 'from': 101, 'to': 100, 'delta': -1, 'type': 'reclassification', 'date': '2026-05-25'}]",[]
2026-05-26,111,1064,17,246,1175,263,[],[],[]
2026-05-27,119,906,17,223,1025,240,[],"[{'field': 'suspected_cases', 'from': 1064, 'to': 906, 'delta': -158, 'type': 'reclassification', 'date': '2026-05-27'}, {'field': 'suspected_deaths', 'from': 246, 'to': 223, 'delta': -23, 'type': 'reclassification', 'date': '2026-05-27'}, {'field': 'total_cases', 'from': 1175, 'to': 1025, 'delta': -150, 'type': 'reclassification', 'date': '2026-05-27'}, {'field': 'total_deaths', 'from': 263, 'to': 240, 'delta': -23, 'type': 'reclassification', 'date': '2026-05-27'}]",[]
2026-05-28,243,966,17,236,1209,253,[],[],[]
