health_zone,total_cases,confirmed_cases,suspected_cases,confirmed_deaths,suspected_deaths,population_worldpop,attack_rate_per_100k,pcr_machines,data_date,source
Bunia,1851,1583,268,505,57,509060,363.6,10,2026-09-13,INSP SitRep via INRB-UMIE
Rwampara,1260,1019,241,349,71,252324,499.4,0,2026-09-13,INSP SitRep via INRB-UMIE
Mongbalu,1009,663,346,303,88,157714,639.8,0,2026-09-13,INSP SitRep via INRB-UMIE
Nizi,738,732,6,273,2,129697,569.0,0,2026-09-13,INSP SitRep via INRB-UMIE
Katwa,536,523,13,332,0,612242,87.5,0,2026-09-13,INSP SitRep via INRB-UMIE
Mangala,313,313,0,146,0,89713,348.9,1,2026-09-13,INSP SitRep via INRB-UMIE
Lita,262,262,0,130,0,113364,231.1,0,2026-09-13,INSP SitRep via INRB-UMIE
Butembo,246,239,7,157,0,289378,85.0,2,2026-09-13,INSP SitRep via INRB-UMIE
Nia Nia,239,239,0,120,0,91756,260.5,0,2026-09-13,INSP SitRep via INRB-UMIE
Beni,228,228,0,166,0,428854,53.2,2,2026-09-13,INSP SitRep via INRB-UMIE
Bambu,193,179,14,39,3,136151,141.8,0,2026-09-13,INSP SitRep via INRB-UMIE
Nyakunde,177,125,52,36,12,94004,188.3,0,2026-09-13,INSP SitRep via INRB-UMIE
Komanda,135,135,0,88,0,219948,61.4,1,2026-09-13,INSP SitRep via INRB-UMIE
Musienene,116,116,0,63,0,348392,33.3,0,2026-09-13,INSP SitRep via INRB-UMIE
Isiro,97,97,0,41,0,512401,18.9,0,2026-09-13,INSP SitRep via INRB-UMIE
Wamba,89,89,0,33,0,224757,39.6,0,2026-09-13,INSP SitRep via INRB-UMIE
Fataki,78,78,0,30,0,158032,49.4,1,2026-09-13,INSP SitRep via INRB-UMIE
Tchomia,71,71,0,25,0,83917,84.6,1,2026-09-13,INSP SitRep via INRB-UMIE
Pawa,58,58,0,25,0,301768,19.2,0,2026-09-13,INSP SitRep via INRB-UMIE
Mandima,47,47,0,25,0,286637,16.4,0,2026-09-13,INSP SitRep via INRB-UMIE
Kalunguta,43,30,13,12,0,191732,22.4,0,2026-09-13,INSP SitRep via INRB-UMIE
Kilo,41,33,8,12,2,43139,95.0,0,2026-09-13,INSP SitRep via INRB-UMIE
Damas,40,39,1,9,0,94820,42.2,0,2026-09-13,INSP SitRep via INRB-UMIE
Boma Mangbetu,32,32,0,14,0,230104,13.9,0,2026-09-13,INSP SitRep via INRB-UMIE
Lolwa,31,31,0,8,0,41314,75.0,0,2026-09-13,INSP SitRep via INRB-UMIE
Kyondo,30,30,0,19,0,270344,11.1,0,2026-09-13,INSP SitRep via INRB-UMIE
Masereka,20,20,0,8,0,298636,6.7,0,2026-09-13,INSP SitRep via INRB-UMIE
Mabalako,19,19,0,9,0,197136,9.6,0,2026-09-13,INSP SitRep via INRB-UMIE
Biena,17,17,0,7,0,136159,12.5,0,2026-09-13,INSP SitRep via INRB-UMIE
Mambasa,17,17,0,7,0,150807,11.3,0,2026-09-13,INSP SitRep via INRB-UMIE
NA,17,17,0,0,0,0,,0,2026-09-13,INSP SitRep via INRB-UMIE
Vuhovi,17,17,0,5,0,151953,11.2,0,2026-09-13,INSP SitRep via INRB-UMIE
Drodro,15,15,0,7,0,199996,7.5,1,2026-09-13,INSP SitRep via INRB-UMIE
Lubero,15,15,0,7,0,377506,4.0,0,2026-09-13,INSP SitRep via INRB-UMIE
Logo,13,13,0,5,0,216944,6.0,0,2026-09-13,INSP SitRep via INRB-UMIE
Aru,12,8,4,6,1,329667,3.6,2,2026-09-13,INSP SitRep via INRB-UMIE
Aungba,12,12,0,5,0,216787,5.5,0,2026-09-13,INSP SitRep via INRB-UMIE
Adja,11,11,0,1,0,126933,8.7,0,2026-09-13,INSP SitRep via INRB-UMIE
