date,cumulative_traced,cumulative_isolated
2026-05-14,82,0
2026-05-15,0,12
2026-05-18,541,79
2026-05-19,847,114
2026-05-20,1261,181
2026-05-21,1427,244
2026-05-22,1674,318
2026-05-23,1817,302
2026-05-24,2231,0
2026-05-25,2231,0
2026-05-26,2231,0
2026-05-27,2635,0
2026-05-28,0,0
