health_zone,total_cases,confirmed_cases,suspected_cases,confirmed_deaths,suspected_deaths,population_worldpop,attack_rate_per_100k,pcr_machines,data_date,source
Bunia,1796,1528,268,477,57,509060,352.8,10,2026-09-09,INSP SitRep via INRB-UMIE
Rwampara,1245,1004,241,349,71,252324,493.4,0,2026-09-09,INSP SitRep via INRB-UMIE
Mongbalu,990,644,346,294,88,157714,627.7,0,2026-09-09,INSP SitRep via INRB-UMIE
Nizi,732,726,6,273,2,129697,564.4,0,2026-09-09,INSP SitRep via INRB-UMIE
Katwa,499,486,13,309,0,612242,81.5,0,2026-09-09,INSP SitRep via INRB-UMIE
Mangala,309,309,0,146,0,89713,344.4,1,2026-09-09,INSP SitRep via INRB-UMIE
Lita,251,251,0,123,0,113364,221.4,0,2026-09-09,INSP SitRep via INRB-UMIE
Nia Nia,229,229,0,116,0,91756,249.6,0,2026-09-09,INSP SitRep via INRB-UMIE
Butembo,227,220,7,149,0,289378,78.4,2,2026-09-09,INSP SitRep via INRB-UMIE
Beni,195,195,0,145,0,428854,45.5,2,2026-09-09,INSP SitRep via INRB-UMIE
Bambu,191,177,14,39,3,136151,140.3,0,2026-09-09,INSP SitRep via INRB-UMIE
Nyakunde,177,125,52,36,12,94004,188.3,0,2026-09-09,INSP SitRep via INRB-UMIE
Komanda,123,123,0,82,0,219948,55.9,1,2026-09-09,INSP SitRep via INRB-UMIE
Musienene,103,103,0,55,0,348392,29.6,0,2026-09-09,INSP SitRep via INRB-UMIE
Isiro,92,92,0,38,0,512401,18.0,0,2026-09-09,INSP SitRep via INRB-UMIE
Wamba,86,86,0,31,0,224757,38.3,0,2026-09-09,INSP SitRep via INRB-UMIE
Fataki,78,78,0,30,0,158032,49.4,1,2026-09-09,INSP SitRep via INRB-UMIE
Tchomia,63,63,0,25,0,83917,75.1,1,2026-09-09,INSP SitRep via INRB-UMIE
Pawa,52,52,0,25,0,301768,17.2,0,2026-09-09,INSP SitRep via INRB-UMIE
Mandima,44,44,0,24,0,286637,15.4,0,2026-09-09,INSP SitRep via INRB-UMIE
Kilo,41,33,8,12,2,43139,95.0,0,2026-09-09,INSP SitRep via INRB-UMIE
Kalunguta,36,23,13,11,0,191732,18.8,0,2026-09-09,INSP SitRep via INRB-UMIE
Damas,34,33,1,9,0,94820,35.9,0,2026-09-09,INSP SitRep via INRB-UMIE
Lolwa,31,31,0,8,0,41314,75.0,0,2026-09-09,INSP SitRep via INRB-UMIE
Boma Mangbetu,29,29,0,14,0,230104,12.6,0,2026-09-09,INSP SitRep via INRB-UMIE
Kyondo,26,26,0,17,0,270344,9.6,0,2026-09-09,INSP SitRep via INRB-UMIE
Mabalako,18,18,0,8,0,197136,9.1,0,2026-09-09,INSP SitRep via INRB-UMIE
Mambasa,17,17,0,7,0,150807,11.3,0,2026-09-09,INSP SitRep via INRB-UMIE
NA,17,17,0,0,0,0,,0,2026-09-09,INSP SitRep via INRB-UMIE
Drodro,15,15,0,7,0,199996,7.5,1,2026-09-09,INSP SitRep via INRB-UMIE
Masereka,15,15,0,6,0,298636,5.0,0,2026-09-09,INSP SitRep via INRB-UMIE
Vuhovi,14,14,0,5,0,151953,9.2,0,2026-09-09,INSP SitRep via INRB-UMIE
Logo,13,13,0,5,0,216944,6.0,0,2026-09-09,INSP SitRep via INRB-UMIE
Aru,12,8,4,6,1,329667,3.6,2,2026-09-09,INSP SitRep via INRB-UMIE
Aungba,12,12,0,5,0,216787,5.5,0,2026-09-09,INSP SitRep via INRB-UMIE
Adja,11,11,0,1,0,126933,8.7,0,2026-09-09,INSP SitRep via INRB-UMIE
Rimba,11,11,0,4,0,222282,4.9,1,2026-09-09,INSP SitRep via INRB-UMIE
Biena,10,10,0,4,0,136159,7.3,0,2026-09-09,INSP SitRep via INRB-UMIE
Gety,10,7,3,3,0,143442,7.0,0,2026-09-09,INSP SitRep via INRB-UMIE
Lubero,10,10,0,4,0,377506,2.6,0,2026-09-09,INSP SitRep via INRB-UMIE
Makiso Kisangani,10,10,0,5,0,535798,1.9,0,2026-09-09,INSP SitRep via INRB-UMIE
Oicha,10,10,0,7,0,274998,3.6,0,2026-09-09,INSP SitRep via INRB-UMIE
Ariwara,8,8,0,2,0,314730,2.5,0,2026-09-09,INSP SitRep via INRB-UMIE
Bafwasende,4,4,0,0,0,132264,3.0,0,2026-09-09,INSP SitRep via INRB-UMIE
Kabondo,4,4,0,1,0,204629,2.0,0,2026-09-09,INSP SitRep via INRB-UMIE
Mahagi,4,4,0,1,0,247893,1.6,2,2026-09-09,INSP SitRep via INRB-UMIE
Manguredjipa,4,4,0,3,0,68014,5.9,0,2026-09-09,INSP SitRep via INRB-UMIE
Miti Murhesa,4,3,1,1,0,303983,1.3,0,2026-09-09,INSP SitRep via INRB-UMIE
Gombari,3,3,0,1,0,122901,2.4,0,2026-09-09,INSP SitRep via INRB-UMIE
Mangobo,3,3,0,2,0,188652,1.6,0,2026-09-09,INSP SitRep via INRB-UMIE
Mutwanga,3,3,0,2,0,255278,1.2,0,2026-09-09,INSP SitRep via INRB-UMIE
Boga,2,2,0,2,0,72028,2.8,1,2026-09-09,INSP SitRep via INRB-UMIE
Ganga,2,2,0,2,0,235401,0.8,0,2026-09-09,INSP SitRep via INRB-UMIE
Jiba,2,0,2,0,0,75957,2.6,1,2026-09-09,INSP SitRep via INRB-UMIE
Kambala,2,2,0,0,0,140956,1.4,1,2026-09-09,INSP SitRep via INRB-UMIE
Rungu,2,2,0,1,0,194804,1.0,0,2026-09-09,INSP SitRep via INRB-UMIE
Buta,1,1,0,1,0,274964,0.4,0,2026-09-09,INSP SitRep via INRB-UMIE
Goma,1,1,0,0,0,282838,0.4,2,2026-09-09,INSP SitRep via INRB-UMIE
Kayna,1,1,0,0,0,322628,0.3,0,2026-09-09,INSP SitRep via INRB-UMIE
Lubunga (Tshopo),1,1,0,0,0,154712,0.6,0,2026-09-09,INSP SitRep via INRB-UMIE
Tshopo,1,1,0,0,0,172885,0.6,0,2026-09-09,INSP SitRep via INRB-UMIE
Viadana,1,1,0,0,0,187873,0.5,0,2026-09-09,INSP SitRep via INRB-UMIE
Wanierukula,1,1,0,1,0,155297,0.6,0,2026-09-09,INSP SitRep via INRB-UMIE
Karisimbi,0,0,0,0,0,403401,,0,2026-09-09,INSP SitRep via INRB-UMIE
