health_zone,total_cases,confirmed_cases,suspected_cases,confirmed_deaths,suspected_deaths,population_worldpop,attack_rate_per_100k,pcr_machines,data_date,source
Bunia,1522,1254,268,391,57,509060,299.0,10,2026-08-20,INSP SitRep via INRB-UMIE
Rwampara,1136,895,241,334,71,252324,450.2,0,2026-08-20,INSP SitRep via INRB-UMIE
Mongbalu,941,595,346,282,88,157714,596.6,0,2026-08-20,INSP SitRep via INRB-UMIE
Nizi,586,580,6,244,2,129697,451.8,0,2026-08-20,INSP SitRep via INRB-UMIE
Katwa,336,323,13,217,0,612242,54.9,0,2026-08-20,INSP SitRep via INRB-UMIE
Lita,190,190,0,106,0,113364,167.6,0,2026-08-20,INSP SitRep via INRB-UMIE
Mangala,188,188,0,105,0,89713,209.6,1,2026-08-20,INSP SitRep via INRB-UMIE
Nia Nia,185,185,0,105,0,91756,201.6,0,2026-08-20,INSP SitRep via INRB-UMIE
Nyakunde,173,121,52,35,12,94004,184.0,0,2026-08-20,INSP SitRep via INRB-UMIE
Bambu,140,126,14,28,3,136151,102.8,0,2026-08-20,INSP SitRep via INRB-UMIE
Butembo,139,132,7,99,0,289378,48.0,2,2026-08-20,INSP SitRep via INRB-UMIE
Beni,107,107,0,78,0,428854,25.0,2,2026-08-20,INSP SitRep via INRB-UMIE
Fataki,72,72,0,30,0,158032,45.6,1,2026-08-20,INSP SitRep via INRB-UMIE
Musienene,68,68,0,39,0,348392,19.5,0,2026-08-20,INSP SitRep via INRB-UMIE
Isiro,60,60,0,27,0,512401,11.7,0,2026-08-20,INSP SitRep via INRB-UMIE
Wamba,58,58,0,24,0,224757,25.8,0,2026-08-20,INSP SitRep via INRB-UMIE
Komanda,54,54,0,37,0,219948,24.6,1,2026-08-20,INSP SitRep via INRB-UMIE
Tchomia,52,52,0,25,0,83917,62.0,1,2026-08-20,INSP SitRep via INRB-UMIE
Kilo,39,31,8,12,2,43139,90.4,0,2026-08-20,INSP SitRep via INRB-UMIE
Damas,28,27,1,9,0,94820,29.5,0,2026-08-20,INSP SitRep via INRB-UMIE
Kalunguta,26,13,13,6,0,191732,13.6,0,2026-08-20,INSP SitRep via INRB-UMIE
Mandima,25,25,0,16,0,286637,8.7,0,2026-08-20,INSP SitRep via INRB-UMIE
