health_zone,total_cases,confirmed_cases,suspected_cases,confirmed_deaths,suspected_deaths,population_worldpop,attack_rate_per_100k,pcr_machines,data_date,source
Bunia,1585,1317,268,411,57,509060,311.4,10,2026-08-25,INSP SitRep via INRB-UMIE
Rwampara,1162,921,241,335,71,252324,460.5,0,2026-08-25,INSP SitRep via INRB-UMIE
Mongbalu,951,605,346,284,88,157714,603.0,0,2026-08-25,INSP SitRep via INRB-UMIE
Nizi,634,628,6,252,2,129697,488.8,0,2026-08-25,INSP SitRep via INRB-UMIE
Katwa,373,360,13,241,0,612242,60.9,0,2026-08-25,INSP SitRep via INRB-UMIE
Lita,204,204,0,111,0,113364,180.0,0,2026-08-25,INSP SitRep via INRB-UMIE
Mangala,203,203,0,109,0,89713,226.3,1,2026-08-25,INSP SitRep via INRB-UMIE
Nia Nia,199,199,0,108,0,91756,216.9,0,2026-08-25,INSP SitRep via INRB-UMIE
Nyakunde,176,124,52,35,12,94004,187.2,0,2026-08-25,INSP SitRep via INRB-UMIE
Bambu,162,148,14,29,3,136151,119.0,0,2026-08-25,INSP SitRep via INRB-UMIE
Butembo,153,146,7,110,0,289378,52.9,2,2026-08-25,INSP SitRep via INRB-UMIE
Beni,118,118,0,85,0,428854,27.5,2,2026-08-25,INSP SitRep via INRB-UMIE
Isiro,74,74,0,32,0,512401,14.4,0,2026-08-25,INSP SitRep via INRB-UMIE
Fataki,73,73,0,30,0,158032,46.2,1,2026-08-25,INSP SitRep via INRB-UMIE
Musienene,72,72,0,43,0,348392,20.7,0,2026-08-25,INSP SitRep via INRB-UMIE
Wamba,65,65,0,27,0,224757,28.9,0,2026-08-25,INSP SitRep via INRB-UMIE
Komanda,61,61,0,39,0,219948,27.7,1,2026-08-25,INSP SitRep via INRB-UMIE
Tchomia,55,55,0,25,0,83917,65.5,1,2026-08-25,INSP SitRep via INRB-UMIE
Kilo,40,32,8,12,2,43139,92.7,0,2026-08-25,INSP SitRep via INRB-UMIE
Mandima,32,32,0,19,0,286637,11.2,0,2026-08-25,INSP SitRep via INRB-UMIE
Kalunguta,29,16,13,7,0,191732,15.1,0,2026-08-25,INSP SitRep via INRB-UMIE
Damas,28,27,1,9,0,94820,29.5,0,2026-08-25,INSP SitRep via INRB-UMIE
Boma Mangbetu,26,26,0,14,0,230104,11.3,0,2026-08-25,INSP SitRep via INRB-UMIE
Pawa,20,20,0,15,0,301768,6.6,0,2026-08-25,INSP SitRep via INRB-UMIE
Lolwa,19,19,0,4,0,41314,46.0,0,2026-08-25,INSP SitRep via INRB-UMIE
Mambasa,17,17,0,7,0,150807,11.3,0,2026-08-25,INSP SitRep via INRB-UMIE
NA,17,17,0,0,0,0,,0,2026-08-25,INSP SitRep via INRB-UMIE
Kyondo,16,16,0,12,0,270344,5.9,0,2026-08-25,INSP SitRep via INRB-UMIE
Drodro,13,13,0,6,0,199996,6.5,1,2026-08-25,INSP SitRep via INRB-UMIE
Aungba,12,12,0,5,0,216787,5.5,0,2026-08-25,INSP SitRep via INRB-UMIE
Adja,11,11,0,1,0,126933,8.7,0,2026-08-25,INSP SitRep via INRB-UMIE
Aru,11,7,4,6,1,329667,3.3,2,2026-08-25,INSP SitRep via INRB-UMIE
Logo,11,11,0,5,0,216944,5.1,0,2026-08-25,INSP SitRep via INRB-UMIE
Rimba,10,10,0,4,0,222282,4.5,1,2026-08-25,INSP SitRep via INRB-UMIE
Ariwara,8,8,0,2,0,314730,2.5,0,2026-08-25,INSP SitRep via INRB-UMIE
Gety,8,5,3,2,0,143442,5.6,0,2026-08-25,INSP SitRep via INRB-UMIE
Masereka,7,7,0,4,0,298636,2.3,0,2026-08-25,INSP SitRep via INRB-UMIE
Oicha,7,7,0,4,0,274998,2.5,0,2026-08-25,INSP SitRep via INRB-UMIE
Makiso Kisangani,6,6,0,4,0,535798,1.1,0,2026-08-25,INSP SitRep via INRB-UMIE
Vuhovi,5,5,0,2,0,151953,3.3,0,2026-08-25,INSP SitRep via INRB-UMIE
Mahagi,4,4,0,1,0,247893,1.6,2,2026-08-25,INSP SitRep via INRB-UMIE
Miti Murhesa,4,3,1,1,0,303983,1.3,0,2026-08-25,INSP SitRep via INRB-UMIE
Gombari,3,3,0,1,0,122901,2.4,0,2026-08-25,INSP SitRep via INRB-UMIE
Kabondo,3,3,0,1,0,204629,1.5,0,2026-08-25,INSP SitRep via INRB-UMIE
Mabalako,3,3,0,2,0,197136,1.5,0,2026-08-25,INSP SitRep via INRB-UMIE
Boga,2,2,0,2,0,72028,2.8,1,2026-08-25,INSP SitRep via INRB-UMIE
Jiba,2,0,2,0,0,75957,2.6,1,2026-08-25,INSP SitRep via INRB-UMIE
Kambala,2,2,0,0,0,140956,1.4,1,2026-08-25,INSP SitRep via INRB-UMIE
Mangobo,2,2,0,2,0,188652,1.1,0,2026-08-25,INSP SitRep via INRB-UMIE
Bafwasende,1,1,0,0,0,132264,0.8,0,2026-08-25,INSP SitRep via INRB-UMIE
Buta,1,1,0,1,0,274964,0.4,0,2026-08-25,INSP SitRep via INRB-UMIE
Ganga,1,1,0,0,0,235401,0.4,0,2026-08-25,INSP SitRep via INRB-UMIE
Goma,1,1,0,0,0,282838,0.4,2,2026-08-25,INSP SitRep via INRB-UMIE
Lubero,1,1,0,1,0,377506,0.3,0,2026-08-25,INSP SitRep via INRB-UMIE
Lubunga (Tshopo),1,1,0,0,0,154712,0.6,0,2026-08-25,INSP SitRep via INRB-UMIE
Mutwanga,1,1,0,1,0,255278,0.4,0,2026-08-25,INSP SitRep via INRB-UMIE
Rungu,1,1,0,0,0,194804,0.5,0,2026-08-25,INSP SitRep via INRB-UMIE
Tshopo,1,1,0,0,0,172885,0.6,0,2026-08-25,INSP SitRep via INRB-UMIE
Viadana,1,1,0,0,0,187873,0.5,0,2026-08-25,INSP SitRep via INRB-UMIE
