health_zone,total_cases,confirmed_cases,suspected_cases,confirmed_deaths,suspected_deaths,population_worldpop,attack_rate_per_100k,pcr_machines,data_date,source
Bunia,1547,1279,268,402,57,509060,303.9,10,2026-08-22,INSP SitRep via INRB-UMIE
Rwampara,1143,902,241,334,71,252324,453.0,0,2026-08-22,INSP SitRep via INRB-UMIE
Mongbalu,946,600,346,283,88,157714,599.8,0,2026-08-22,INSP SitRep via INRB-UMIE
Nizi,615,609,6,252,2,129697,474.2,0,2026-08-22,INSP SitRep via INRB-UMIE
Katwa,355,342,13,229,0,612242,58.0,0,2026-08-22,INSP SitRep via INRB-UMIE
Lita,196,196,0,108,0,113364,172.9,0,2026-08-22,INSP SitRep via INRB-UMIE
Mangala,191,191,0,106,0,89713,212.9,1,2026-08-22,INSP SitRep via INRB-UMIE
Nia Nia,191,191,0,107,0,91756,208.2,0,2026-08-22,INSP SitRep via INRB-UMIE
Nyakunde,174,122,52,35,12,94004,185.1,0,2026-08-22,INSP SitRep via INRB-UMIE
Butembo,144,137,7,106,0,289378,49.8,2,2026-08-22,INSP SitRep via INRB-UMIE
Bambu,141,127,14,28,3,136151,103.6,0,2026-08-22,INSP SitRep via INRB-UMIE
Beni,114,114,0,84,0,428854,26.6,2,2026-08-22,INSP SitRep via INRB-UMIE
Fataki,73,73,0,30,0,158032,46.2,1,2026-08-22,INSP SitRep via INRB-UMIE
Musienene,68,68,0,39,0,348392,19.5,0,2026-08-22,INSP SitRep via INRB-UMIE
Isiro,67,67,0,28,0,512401,13.1,0,2026-08-22,INSP SitRep via INRB-UMIE
Komanda,58,58,0,38,0,219948,26.4,1,2026-08-22,INSP SitRep via INRB-UMIE
Wamba,58,58,0,24,0,224757,25.8,0,2026-08-22,INSP SitRep via INRB-UMIE
Tchomia,54,54,0,25,0,83917,64.3,1,2026-08-22,INSP SitRep via INRB-UMIE
Kilo,39,31,8,12,2,43139,90.4,0,2026-08-22,INSP SitRep via INRB-UMIE
Mandima,32,32,0,19,0,286637,11.2,0,2026-08-22,INSP SitRep via INRB-UMIE
Damas,28,27,1,9,0,94820,29.5,0,2026-08-22,INSP SitRep via INRB-UMIE
Kalunguta,26,13,13,6,0,191732,13.6,0,2026-08-22,INSP SitRep via INRB-UMIE
Boma Mangbetu,24,24,0,9,0,230104,10.4,0,2026-08-22,INSP SitRep via INRB-UMIE
Pawa,20,20,0,15,0,301768,6.6,0,2026-08-22,INSP SitRep via INRB-UMIE
Lolwa,17,17,0,4,0,41314,41.1,0,2026-08-22,INSP SitRep via INRB-UMIE
NA,17,17,0,0,0,0,,0,2026-08-22,INSP SitRep via INRB-UMIE
Kyondo,16,16,0,12,0,270344,5.9,0,2026-08-22,INSP SitRep via INRB-UMIE
Mambasa,14,14,0,7,0,150807,9.3,0,2026-08-22,INSP SitRep via INRB-UMIE
Drodro,13,13,0,6,0,199996,6.5,1,2026-08-22,INSP SitRep via INRB-UMIE
Aungba,12,12,0,5,0,216787,5.5,0,2026-08-22,INSP SitRep via INRB-UMIE
Adja,11,11,0,1,0,126933,8.7,0,2026-08-22,INSP SitRep via INRB-UMIE
Aru,11,7,4,6,1,329667,3.3,2,2026-08-22,INSP SitRep via INRB-UMIE
Logo,11,11,0,5,0,216944,5.1,0,2026-08-22,INSP SitRep via INRB-UMIE
Rimba,10,10,0,4,0,222282,4.5,1,2026-08-22,INSP SitRep via INRB-UMIE
Ariwara,8,8,0,2,0,314730,2.5,0,2026-08-22,INSP SitRep via INRB-UMIE
Gety,8,5,3,2,0,143442,5.6,0,2026-08-22,INSP SitRep via INRB-UMIE
Masereka,7,7,0,4,0,298636,2.3,0,2026-08-22,INSP SitRep via INRB-UMIE
Makiso Kisangani,6,6,0,4,0,535798,1.1,0,2026-08-22,INSP SitRep via INRB-UMIE
Oicha,6,6,0,4,0,274998,2.2,0,2026-08-22,INSP SitRep via INRB-UMIE
Vuhovi,5,5,0,2,0,151953,3.3,0,2026-08-22,INSP SitRep via INRB-UMIE
Mahagi,4,4,0,1,0,247893,1.6,2,2026-08-22,INSP SitRep via INRB-UMIE
Miti Murhesa,4,3,1,1,0,303983,1.3,0,2026-08-22,INSP SitRep via INRB-UMIE
Gombari,3,3,0,1,0,122901,2.4,0,2026-08-22,INSP SitRep via INRB-UMIE
Kabondo,3,3,0,1,0,204629,1.5,0,2026-08-22,INSP SitRep via INRB-UMIE
Mabalako,3,3,0,2,0,197136,1.5,0,2026-08-22,INSP SitRep via INRB-UMIE
Jiba,2,0,2,0,0,75957,2.6,1,2026-08-22,INSP SitRep via INRB-UMIE
Kambala,2,2,0,0,0,140956,1.4,1,2026-08-22,INSP SitRep via INRB-UMIE
Mangobo,2,2,0,2,0,188652,1.1,0,2026-08-22,INSP SitRep via INRB-UMIE
Bafwasende,1,1,0,0,0,132264,0.8,0,2026-08-22,INSP SitRep via INRB-UMIE
Boga,1,1,0,1,0,72028,1.4,1,2026-08-22,INSP SitRep via INRB-UMIE
Buta,1,1,0,1,0,274964,0.4,0,2026-08-22,INSP SitRep via INRB-UMIE
Goma,1,1,0,0,0,282838,0.4,2,2026-08-22,INSP SitRep via INRB-UMIE
Lubero,1,1,0,1,0,377506,0.3,0,2026-08-22,INSP SitRep via INRB-UMIE
Lubunga (Tshopo),1,1,0,0,0,154712,0.6,0,2026-08-22,INSP SitRep via INRB-UMIE
